address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,floors,furnishing_sell,house_type,land_feature,land_type,length,living_size,price,price_m2,property_back_condition,property_legal_document,property_road_condition,property_status,region,rooms,size,toilets,type_real_estate,unitnumber,ward,width
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,,,,,,Hoàn thiện cơ bản,,,,,,1790000000,"38,09 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,47 m²,1 phòng,Đất,,Phường Long Thạnh Mỹ,
"Lô A1, Lô A1 Khu đô thị Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",,1,Quận 7,,,,,,,,,,,,3200000000,"41,56 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,77 m²,2 phòng,Đất,,Phường Tân Hưng,
"Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi, Quận 2, Tp Hồ Chí Minh",Căn góc,Căn hộ dịch vụ,Quận 2,Đông,Jardin,Đông,22,,Bàn giao thô,,,,,,1400000000,"17,72 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,79 m²,2 phòng,Đất,,Phường Thạnh Mỹ Lợi,
"686, Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",,Chung cư,Quận Bình Thạnh,Đông,,Tây,,,,,,,,,3070000000,"52,93 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,58 m²,1 phòng,Đất,,Phường 25,
"Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",,Chung cư,Quận Gò Vấp,,,,,,Nội thất đầy đủ,,,,,,2300000000,"35,38 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,65 m²,1 phòng,Đất,,Phường 17,
"số 152, số 152 Đường Điện Biên Phủ, Quận Bình Thạnh, ",,1,Quận Bình Thạnh,,,,,,,,,,,,4200000000,"56,76 triệu/m²",,,,Chưa bàn giao,,2 phòng,74 m²,2 phòng,Đất,,,
"Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",,Chung cư,Quận Gò Vấp,Bắc,,Nam,,,Hoàn thiện cơ bản,,,,,,3530000000,"47,07 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,75 m²,2 phòng,Nhà ở,,Phường 10,
"Đường Số 1, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",,Duplex,Quận Gò Vấp,,,,3,,Nội thất cao cấp,,,,,,3780000000,"118,13 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,32 m²,3 phòng,Căn hộ/Chung cư,,Phường 11,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 9,Tây Nam,,Đông Bắc,,,Nội thất đầy đủ,,,,,,2539290396,"36,28 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,70 m²,2 phòng,Căn hộ/Chung cư,,Phường Long Thạnh Mỹ,
"Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 9,,,,,,,,,,,,2000000000,"27,03 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,74 m²,2 phòng,Căn hộ/Chung cư,,Phường Phú Hữu,
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",1,1,Quận Thủ Đức,6,D1,,9,,2,,,,,,2250000000,"30,82 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,73.5 m²,2 phòng,Căn hộ/Chung cư,8.1,Phường Tam Phú,
"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",,1,Quận Tân Phú,,,,,,,,,,,,2400000000,"45,28 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,53 m²,1 phòng,Căn hộ/Chung cư,,Phường Hiệp Tân,
"Đường Nguyễn Hữu Thọ, ",,1,,,,,,,,,,,,,1855000000,"48,82 triệu/m²",,,,Đã bàn giao,,1 phòng,38 m²,1 phòng,Căn hộ/Chung cư,,,
"290, 290 Đường An Dương Vương, Phường 4, Quận 5, ",,1,Quận 5,,,,,,Nội thất đầy đủ,,,,,,2200000000,"73,33 triệu/m²",,1,,Đã bàn giao,,1 phòng,30 m²,1 phòng,Đất,,Phường 4,
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",,1,Quận 8,7,,Đông Nam,,,Hoàn thiện cơ bản,,,,,,2090000000,"26,13 triệu/m²",,Giấy tờ khác,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,80.43 m²,2 phòng,Đất,,Phường 7,
"KDC Phong Phú 4, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",,Chung cư,Huyện Bình Chánh,Đông Nam,C,Tây Nam,6,,Hoàn thiện cơ bản,,,,,,2186000000,"33,12 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,66 m²,2 phòng,Nhà ở,C06-13,Xã Phong Phú,
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",,Chung cư,Quận 6,,,,,,,,,,,,940000000,"19,58 triệu/m²",,,,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,48 m²,1 phòng,Căn hộ/Chung cư,,Phường 10,
"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",,1,Quận Tân Phú,,,,,,Nội thất cao cấp,,,,,,3150000000,"48,46 triệu/m²",,1,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,65 m²,2 phòng,Căn hộ/Chung cư,,Phường Hiệp Tân,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 9,Tây Bắc,,Đông Nam,,,Hoàn thiện cơ bản,,,,,,2849000000,"35,17 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,81 m²,2 phòng,Căn hộ/Chung cư,,Phường Long Thạnh Mỹ,
"Lầu  3, Đường 6D, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh",,1,Quận 9,Đông Bắc,,Nam,3,,,,,,,,1690000000,"28,17 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60 m²,1 phòng,Nhà ở,3.5,Phường Phước Bình,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Tp Hồ Chí Minh",,1,,,,,,,Nội thất cao cấp,,,,,,1270000000,"37,35 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,34 m²,1 phòng,Căn hộ/Chung cư,,Phường Long Thạnh Mỹ,
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",,Chung cư,Quận 8,,,,,,,,,,,,2500000000,"36,76 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,68 m²,2 phòng,Căn hộ/Chung cư,,Phường 6,
"336/20 Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh, Phường 12, Quận 6, Tp Hồ Chí Minh",,1,Quận 6,,,,,,Hoàn thiện cơ bản,,,,,,2700000000,45 triệu/m²,,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60.56 m²,1 phòng,Căn hộ/Chung cư,,Phường 12,
"Đường Trịnh Đình Thảo, Quận Tân Phú, ",Căn góc,1,Quận Tân Phú,,,,,,,,,,,,2350000000,"34,56 triệu/m²",,,,Đã bàn giao,,2 phòng,68 m²,2 phòng,Đất,,,
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,Đông,,Tây,,,,,,,,,1960000000,40 triệu/m²,,,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,49 m²,1 phòng,Đất,,Phường Thạnh Xuân,
"Đường Bến Vân Đồn, ",Căn góc,1,,,,Đông,7,,Nội thất cao cấp,,,,,,2222000000,"31,74 triệu/m²",,1,,Đã bàn giao,,2 phòng,70.02 m²,2 phòng,Nhà ở,,,
"47, 47 Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Tân Phú,Đông,,,,,,,,,,,3850000000,"36,67 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,105 m²,2 phòng,Nhà ở,,Phường Tân Thới Hòa,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Tp Hồ Chí Minh",,1,,,,,12,,,,,,,,2090000000,"43,54 triệu/m²",,1,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,48 m²,2 phòng,Nhà ở,Can s301.1209,Phường Long Thạnh Mỹ,
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",,1,Quận 8,Đông,,2,,,Hoàn thiện cơ bản,,,,,,1320000000,"24,91 triệu/m²",,3,,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,53 m²,1 phòng,Nhà ở,,Phường 16,
"359, 359 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",,Chung cư,Quận Gò Vấp,Đông Nam,,,,,Hoàn thiện cơ bản,,,,,,1550000000,31 triệu/m²,,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,50 m²,1 phòng,Đất,,Phường 14,
"Đường Trần Xuân Soạn, ",,2,,,,,,,Hoàn thiện cơ bản,,,,,,969000000,"30,28 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,,1 phòng,32 m²,1 phòng,Đất,,,
"C003, Đỗ Xuân Hợp, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,,,,,,Nội thất đầy đủ,,,,,,2700000000,45 triệu/m²,,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60 m²,1 phòng,Đất,,Phường Phú Hữu,
"436, 436 Đường Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,Bắc,Block B,Nam,,,Hoàn thiện cơ bản,,,,,,1900000000,"25,33 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,75 m²,2 phòng,Nhà ở,,Phường Thới An,
"Nguyễn Lương Bằng, phường Tân Phú, quận 7, Tp.HCM, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",,Chung cư,Quận 7,Đông Bắc,,Nam,6,,Nội thất cao cấp,,,,,,4350000000,"63,04 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,69 m²,2 phòng,Nhà ở,,Phường Tân Phú,
"Đường Nguyễn Xiển, ",Căn góc,1,,,,,,,Hoàn thiện cơ bản,,,,,,2070000000,30 triệu/m²,,Đang chờ sổ,,Đã bàn giao,,2 phòng,69 m²,2 phòng,Nhà ở,,,
"9, Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",,Chung cư,Quận Bình Tân,,,,,,Nội thất cao cấp,,,,,,3500000000,"59,32 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,59 m²,1 phòng,Nhà ở,,Phường Bình Trị Đông B,
"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",,Chung cư,Quận Tân Phú,,,,,,Nội thất đầy đủ,,,,,,2000000000,"36,36 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,55 m²,1 phòng,Nhà ở,,Phường Sơn Kỳ,
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",,1,Quận 8,,,,,,,,,,,,2350000000,"39,17 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60 m²,2 phòng,Đất,,Phường 6,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Tp Hồ Chí Minh",Căn góc,1,,Tây Nam,,Đông Bắc,,,Nội thất cao cấp,,,,,,2649000000,"38,39 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,69 m²,2 phòng,Đất,,Phường Long Thạnh Mỹ,
"Đường Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 4,Đông Bắc,,,26,,Nội thất đầy đủ,,,,,,3631000000,"55,86 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,65.3 m²,2 phòng,Đất,,Phường 1,
"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",,Chung cư,Quận Bình Tân,Bắc,,Nam,,,,,,,,,2350000000,"29,01 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,81 m²,2 phòng,Đất,,Phường Bình Trị Đông,
"Số 200, Số 200 đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",,1,Quận 10,6,,7,,,,,,,,,7500000000,"70,09 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,107 m²,2 phòng,Đất,,Phường 12,
"Đường Nguyễn Cửu Phú, ",,1,,,A B C D E F G H,,,,Hoàn thiện cơ bản,,,,,,1490000000,"27,09 triệu/m²",,Đang chờ sổ,,Đã bàn giao,,2 phòng,55 m²,1 phòng,Đất,,,
"Đường Nguyễn Xiển, ",,1,,,,,,,,,,,,,462000000,"7,7 triệu/m²",,,,Chưa bàn giao,,2 phòng,60 m²,2 phòng,Đất,,,
"tx13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,,pak2,Đông,3,,Nội thất cao cấp,,,,,,2150000000,"37,72 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,57 m²,1 phòng,Căn hộ/Chung cư,123,Phường Thạnh Xuân,
"30, 30 Đường 3, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",,1,Quận Thủ Đức,,,,,,,,,,,,2500000000,"36,76 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,68 m²,2 phòng,Căn hộ/Chung cư,,Phường Trường Thọ,
"53, Đường Bà Huyện Thanh Quan, Phường 6, Quận 3, Tp Hồ Chí Minh",,1,Quận 3,,A,,6,,1,,,,,,5200000000,"94,55 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,55 m²,1 phòng,Căn hộ/Chung cư,9,Phường 6,
"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Tp Hồ Chí Minh",,1,,,,,,,,,,,,,1750000000,35 triệu/m²,,,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,50 m²,1 phòng,Căn hộ/Chung cư,,Phường Phú Mỹ,
"Đường Nam Hòa, Phường Phước Long A, Quận 9, Tp Hồ Chí Minh",,Căn hộ dịch vụ,Quận 9,,,,,,Nội thất đầy đủ,,,,,,1200000000,24 triệu/m²,,Giấy tờ khác,,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,50 m²,1 phòng,Căn hộ/Chung cư,,Phường Phước Long A,
"1436, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",1,1,Quận 8,6,,7,,,Hoàn thiện cơ bản,,,,,,2082000000,"26,35 triệu/m²",,Giấy tờ khác,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,79 m²,2 phòng,Căn hộ/Chung cư,,Phường 7,
"Đường Bạch Đằng, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Tân Bình,,,,,,,,,,,,6000000000,"47,62 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,126 m²,2 phòng,Căn hộ/Chung cư,,Phường 2,
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,,,,,,Hoàn thiện cơ bản,,,,,,2050000000,41 triệu/m²,,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,50 m²,1 phòng,Nhà ở,,Phường Phú Hữu,
"49, 49 Đường Lê Quang Kim, Quận 8, Tp Hồ Chí Minh",Căn góc,1,Quận 8,Tây Bắc,C,Đông Nam,,,Hoàn thiện cơ bản,,,,,,3100000000,"53,45 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,58 m²,1 phòng,Nhà ở,,,
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",,Chung cư,Huyện Bình Chánh,Nam,Mp4,Bắc,,,Nội thất đầy đủ,,,,,,3199000000,"41,01 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,78 m²,2 phòng,Nhà ở,11,Xã Bình Hưng,
"334, 334 Đường Tô Hiến Thành, ",,1,,,A,,,,Nội thất đầy đủ,,,,,,5900000000,"75,64 triệu/m²",,Giấy tờ khác,,Đã bàn giao,,2 phòng,78 m²,2 phòng,Nhà ở,,,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Tp Hồ Chí Minh",,1,,,,,,,Nội thất đầy đủ,,,,,,2250000000,"38,14 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,59 m²,1 phòng,Đất,,Phường Long Thạnh Mỹ,
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,Bắc,P2,Nam,13,,Bàn giao thô,,,,,,2386000000,"41,86 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,57 m²,1 phòng,Đất,P2.13.25,Phường Thạnh Xuân,
"Đường Nguyễn Lương Bằng, Phường Tân Phú, ",,1,,,,,,,Hoàn thiện cơ bản,,,,,,2950000000,"45,38 triệu/m²",,1,,Chưa bàn giao,,2 phòng,65 m²,2 phòng,Đất,,Phường Tân Phú,
"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,,,,,,,,,,,,2050000000,"29,29 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,70 m²,2 phòng,Đất,,Phường Tân Thới Nhất,
"328, võ văn kiệt, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",,Chung cư,Quận 1,Bắc,,Nam,,,,,,,,,819000000,"10,24 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,80 m²,2 phòng,Đất,,Phường Cô Giang,
"Đường Tân Vĩnh, Quận 4, Tp Hồ Chí Minh",,1,Quận 4,,C3,Đông Nam,4,,2,,,,,,1550000000,"48,44 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,32 m²,1 phòng,Đất,,,
"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,,A,Nam,8,,Hoàn thiện cơ bản,,,,,,2080000000,"30,14 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,69 m²,2 phòng,Đất,,Phường Tân Thới Nhất,
"Đường số 1, Quận Thủ Đức, Tp Hồ Chí Minh",,1,Quận Thủ Đức,,,,,,,,,,,,3700000000,"41,57 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,89 m²,2 phòng,Đất,,,
"Đường Nguyễn Xiển, ",,1,,Đông,S0602,2,16,,Nội thất đầy đủ,,,,,,1050000000,"33,87 triệu/m²",,1,,Đã bàn giao,,1 phòng,31 m²,1 phòng,Căn hộ/Chung cư,,,
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",,1,Quận 8,,,,,,,,,,,,1735000000,"27,98 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,62 m²,2 phòng,Căn hộ/Chung cư,,Phường 7,
"Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",1,Duplex,Quận 7,,,,,,Bàn giao thô,,,,,,620000000,"5,17 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Tp Hồ Chí Minh,3 phòng,120 m²,2 phòng,Căn hộ/Chung cư,,Phường Phú Mỹ,
"49, 49 Đường Lê Quang Kim, Phường 8, Quận 8, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 8,Đông Nam,A,Tây Bắc,,,Nội thất đầy đủ,,,,,,4300000000,"46,24 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,93 m²,2 phòng,Nhà ở,,Phường 8,
"Đường Số 1, Quận Bình Tân, Tp Hồ Chí Minh",,,Quận Bình Tân,,,7,,5,,Nhà mặt phố,,,30 m,,12500000000,"92,59 triệu/m²",,1,,,Tp Hồ Chí Minh,5 phòng,135 m²,6 phòng,Nhà ở,,,
"1632/1/3, Đường Lê Văn Lương, Huyện Nhà Bè, ",,,Huyện Nhà Bè,,,,,,,1,,,11 m,80 m²,1900000000,"47,5 triệu/m²",,1,1,,,2 phòng,40 m²,2 phòng,Nhà ở,,,3.2 m
