address,area,block,direction,floors,furnishing_sell,house_type,land_type,length,living_size,price,price_m2,property_legal_document,property_road_condition,region,rooms,size,toilets,ward,width
"2495, Đường Quốc Lộ 20, Xã Phú Bình, Huyện Tân Phú, Đồng Nai",Huyện Tân Phú,,Đông,,Hoàn thiện cơ bản,Nhà mặt phố,,24 m,220 m²,1000000000,"4,46 triệu/m²",Đã có sổ,,Đồng Nai,1 phòng,224 m²,1 phòng,Xã Phú Bình,8 m
"Đường Phạm Văn Thuận, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,,130 m²,13500000000,"103,85 triệu/m²",Đã có sổ,,Đồng Nai,1 phòng,130 m²,1 phòng,Phường Tam Hiệp,
"2931, Đường Lý Thái Tổ, Xã Phú Hữu, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,,Bắc,3,,Nhà mặt phố,,12 m,57 m²,3700000000,"64,91 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,57 m²,3 phòng,Xã Phú Hữu,5 m
"Đường Hoàng Minh Châu, Phường Hòa Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,,,7400000000,"74,75 triệu/m²",Đã có sổ,,Đồng Nai,1 phòng,99 m²,1 phòng,Phường Hòa Bình,
"Đường Số 1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,Nam,,Nội thất cao cấp,Nhà phố liền kề,,25 m,320 m²,3800000000,"30,4 triệu/m²",Đã có sổ,,Đồng Nai,4 phòng,125 m²,3 phòng,Thị trấn Trảng Bom,5 m
"Đường Phạm Văn Đồng, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,Đông Nam,3,Bàn giao thô,Nhà biệt thự,,15 m,173 m²,5700000000,"54,29 triệu/m²",Đang chờ sổ,,Đồng Nai,3 phòng,105 m²,3 phòng,Thị trấn Long Thành,7 m
"Đường Đồng Khởi, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Tây,,,Nhà ngõ,,16 m,101.4 m²,2950000,29.207 đ/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,1 phòng,101.4 m²,1 phòng,Phường Tân Phong,6.5 m
"@, Đường Sông Thao, Xã Sông Thao, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,,,Nhà mặt phố,,24 m,80 m²,1250000000,"13,02 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,96 m²,2 phòng,Xã Sông Thao,4 m
"Đường Lý Tự Trọng, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,zone 8,Tây Bắc,3,Hoàn thiện cơ bản,Nhà phố liền kề,,18 m,204 m²,6500000000,"51,59 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,3 phòng,126 m²,4 phòng,Xã Đại Phước,7 m
"Đường Nguyễn Văn Tiên, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Hoàn thiện cơ bản,Nhà ngõ,,,77 m²,2150000000,"27,92 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,77 m²,1 phòng,Phường Tân Phong,
"khu phố 5, Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,,Nhà mặt phố,,31 m,155 m²,5100000000,"32,9 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,155 m²,1 phòng,Phường Trảng Dài,5 m
"Đường Hương lộ 10, Xã Sông Nhạn, Huyện Cẩm Mỹ, Đồng Nai",Huyện Cẩm Mỹ,,,,Bàn giao thô,Nhà mặt phố,,27 m,138 m²,1500000000,"10,87 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,138 m²,2 phòng,Xã Sông Nhạn,5 m
"Thửa 204, Xã Bảo Hoà, Huyện Xuân Lộc, Đồng Nai",Huyện Xuân Lộc,,,,,Nhà ngõ,,,329 m²,3100000000,"8,86 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,350 m²,1 phòng,Xã Bảo Hoà,
"Đường Trảng Bom, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,,,Nhà ngõ,,23.9 m,80 m²,950000000,"11,88 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,80 m²,,Xã Bình Minh,3.66 m
"Bán đảo Đại Phước, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,,Tây Nam,,Bàn giao thô,Nhà biệt thự,,22.5 m,322 m²,12500000000,"36,76 triệu/m²",Đang chờ sổ,,Đồng Nai,4 phòng,340 m²,3 phòng,Xã Đại Phước,15 m
"Bán đảo Đại Phước, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,,Đông Bắc,,Bàn giao thô,Nhà biệt thự,,20 m,280 m²,11500000000,"35,94 triệu/m²",Đang chờ sổ,,Đồng Nai,4 phòng,320 m²,3 phòng,Xã Đại Phước,16 m
"Đường Phạm Văn Đồng, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",Huyện Long Thành,Sunrise Villas,Đông,3,Hoàn thiện cơ bản,Nhà biệt thự,,15 m,105 m²,5200000000,"49,52 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,3 phòng,105 m²,3 phòng,Thị trấn Long Thành,7 m
"Đường Hương lộ 2, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Booking,Nam,3,Nội thất cao cấp,Nhà mặt phố,,50 m,100 m²,10000000000,"76,92 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,130 m²,4 phòng,Xã Long Hưng,20 m
"Đường Nguyễn Thị Hoa, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Tây Nam,,,Nhà ngõ,,16 m,100 m²,2050000000,"31,54 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,65 m²,2 phòng,Phường An Bình,4 m
"Đường Quốc Lộ 51A, Xã An Phước, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,Đông Nam,,,Nhà ngõ,,25 m,126 m²,2450000000,"19,44 triệu/m²",,,Đồng Nai,3 phòng,126 m²,1 phòng,Xã An Phước,5 m
"Bán đảo Đại Phước, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,,,2,Bàn giao thô,Nhà biệt thự,,,,11500000000,"35,17 triệu/m²",,,Đồng Nai,4 phòng,327 m²,4 phòng,Xã Đại Phước,
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Đảo Phượng Hoàng,,2,Bàn giao thô,Nhà phố liền kề,,20 m,160 m²,8300000000,"69,17 triệu/m²",Giấy tờ khác,,Đồng Nai,3 phòng,120 m²,3 phòng,Xã Long Hưng,6 m
"Đường Quốc lộ 1A, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,,,Nhà mặt phố,,18 m,80 m²,3500000000,"43,75 triệu/m²",Đã có sổ,,Đồng Nai,3 phòng,80 m²,2 phòng,Thị trấn Trảng Bom,5 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Sun Harbor 1,Bắc,3,Hoàn thiện cơ bản,Nhà phố liền kề,,23 m,200 m²,14000000000,"101,45 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,4 phòng,138 m²,3 phòng,Xã Long Hưng,6 m
"Đường Nguyễn Du, Phường Quang Vinh, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Nam,,Bàn giao thô,Nhà ngõ,,30 m,75 m²,1500000000,"16,67 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,2 phòng,90 m²,2 phòng,Phường Quang Vinh,3 m
"Đường Bà Ký, Xã Long Phước, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,,,,Nhà mặt phố,,35 m,150 m²,3500000000,"23,33 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,150 m²,1 phòng,Xã Long Phước,5 m
"Đường Nguyễn Văn Trị, Phường Hòa Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,Nội thất đầy đủ,Nhà mặt phố,,,,11000000000,"183,33 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,60 m²,2 phòng,Phường Hòa Bình,
"Đường Tà Lài, Xã Phú Thịnh, Huyện Tân Phú, Đồng Nai",Huyện Tân Phú,,Nam,,Bàn giao thô,Nhà mặt phố,,24 m,300 m²,1700000000,"2,95 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,576 m²,1 phòng,Xã Phú Thịnh,24 m
"Đường Phạm Văn Đồng, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",Huyện Long Thành,Sunrise Villas,Đông,3,Hoàn thiện cơ bản,Nhà biệt thự,,15 m,200 m²,5200000000,"49,52 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,3 phòng,105 m²,2 phòng,Thị trấn Long Thành,7 m
"Đường Quốc Lộ 1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,2,Nội thất đầy đủ,Nhà mặt phố,,20 m,100 m²,1500000000,15 triệu/m²,Đã có sổ,,Đồng Nai,2 phòng,100 m²,2 phòng,Thị trấn Trảng Bom,5 m
"Đường Nguyễn Phúc Chu, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Nam,,,Nhà ngõ,,19 m,95 m²,1500000000,"15,79 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,2 phòng,95 m²,1 phòng,Phường Trảng Dài,5 m
"QL1A, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,3,,Nhà mặt phố,,20 m,100 m²,3500000000,35 triệu/m²,Đã có sổ,,Đồng Nai,3 phòng,100 m²,1 phòng,Xã Đồi 61,5 m
"Đường Hoàng Tam Kỳ, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Nam,,,Nhà ngõ,,18 m,140 m²,1750000000,"19,44 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,3 phòng,90 m²,2 phòng,Phường Long Bình,5 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Đảo Phượng Hoàng - Khu South,,3,Bàn giao thô,Nhà phố liền kề,,20 m,222 m²,7500000000,"57,69 triệu/m²",Giấy tờ khác,,Đồng Nai,3 phòng,130 m²,4 phòng,Xã Long Hưng,6 m
"Chưa Có, Xã Phú Điền, Huyện Tân Phú, Đồng Nai",Huyện Tân Phú,,,,,Nhà ngõ,,,18000 m²,5000000000,277.777 đ/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,18000 m²,2 phòng,Xã Phú Điền,
"Đường Trương Hán Siêu, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,Hoàn thiện cơ bản,Nhà phố liền kề,,20 m,100 m²,1150000000,"9,58 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,1 phòng,120 m²,1 phòng,Phường Phước Tân,6 m
"Đường Phạm Văn Đồng, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,Nam,3,Bàn giao thô,Nhà biệt thự,,,178 m²,5700000000,"54,29 triệu/m²",Giấy tờ khác,,Đồng Nai,3 phòng,105 m²,3 phòng,Thị trấn Long Thành,
"Đường Đặng Đức Thuật, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Mặt tiền,Đông,,Nội thất đầy đủ,Nhà mặt phố,,34 m,214 m²,12000000000,"56,07 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,214 m²,2 phòng,Phường Tam Hiệp,6.5 m
"17, Phường Suối Tre, Thành phố Long Khánh, Đồng Nai",Thành phố Long Khánh,,Tây,,,Nhà ngõ,,15 m,50 m²,840000000,"16,8 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,50 m²,1 phòng,Phường Suối Tre,37 m
"Đường Bùi Hữu Nghĩa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,,Nhà mặt phố,,54 m,200 m²,18000000000,36 triệu/m²,Đã có sổ,,Đồng Nai,2 phòng,500 m²,2 phòng,Phường Trảng Dài,11 m
"Đường Hưng Đạo Vương, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,3,,Nhà ngõ,,20 m,180 m²,5400000000,"67,5 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,80 m²,2 phòng,Phường Quyết Thắng,4 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Đảo Phượng Hoàng - Khu North,,3,Bàn giao thô,Nhà phố liền kề,,20 m,200 m²,7500000000,"68,18 triệu/m²",Đang chờ sổ,,Đồng Nai,3 phòng,110 m²,4 phòng,Xã Long Hưng,5.5 m
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Nội thất cao cấp,Nhà mặt phố,,,73 m²,1700000000,"23,29 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,2 phòng,73 m²,2 phòng,Phường Hố Nai,
"Đường Quốc Lộ 20, Xã Quang Trung, Huyện Thống Nhất, Đồng Nai",Huyện Thống Nhất,,,,,Nhà ngõ,,,,5200000000,"6,21 triệu/m²",,,Đồng Nai,3 phòng,838.5 m²,2 phòng,Xã Quang Trung,
"Đường ĐT 768, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,22.8 m,,2850000000,25 triệu/m²,,,Đồng Nai,3 phòng,114 m²,2 phòng,Phường Trảng Dài,5 m
"Bùi văn Hòa, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,40 m,,12000000000,50 triệu/m²,,,Đồng Nai,5 phòng,240 m²,3 phòng,Phường Long Bình,6 m
"8 Nguyễn Thị tồn kp 3 Bửu Hòa, Đường Nguyễn Thị Tồn, Phường Bửu Hòa, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Tây Bắc,4,Nội thất cao cấp,Nhà phố liền kề,,19 m,320 m²,5300000000,"60,92 triệu/m²",Đã có sổ,,Đồng Nai,9 phòng,87.3 m²,Nhiều hơn 6 phòng,Phường Bửu Hòa,4.6 m
"Đường Nguyễn Ái Quốc, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà ngõ,,28 m,,3200000000,"27,12 triệu/m²",,,Đồng Nai,3 phòng,118 m²,1 phòng,Phường Tân Phong,4 m
"Đường Hoàng Diệu, Phường Xuân Thanh, Thành phố Long Khánh, Đồng Nai",Thành phố Long Khánh,,Tây,2,Nội thất đầy đủ,Nhà ngõ,,,140 m²,2150000000,"30,71 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,70 m²,2 phòng,Phường Xuân Thanh,
"Đường Hoàng Minh Chánh, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,,Nhà phố liền kề,,15 m,225 m²,3850000000,"51,33 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,75 m²,3 phòng,Phường Hoá An,5 m
"Đường Bùi Hữu Nghĩa, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Bắc,,Hoàn thiện cơ bản,Nhà mặt phố,,11 m,82 m²,3250000000,"79,27 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,41 m²,2 phòng,Phường Hoá An,4 m
"Đường Bùi Văn Hòa, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Nội thất đầy đủ,Nhà mặt phố,,39 m,171 m²,4400000000,"25,73 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,171 m²,1 phòng,Phường An Bình,
"Đường Nguyễn Ái Quốc, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà biệt thự,,,,12500000000,"30,34 triệu/m²",,,Đồng Nai,7 phòng,412 m²,Nhiều hơn 6 phòng,Phường Tân Phong,
"Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,3,,Nhà ngõ,,26 m,122.6 m²,5600000000,"45,9 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,122.6 m²,3 phòng,Phường Tân Hiệp,4.5 m
"Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,3,,Nhà ngõ,,26 m,122.6 m²,5600000000,"45,9 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,122.6 m²,3 phòng,Phường Tân Hiệp,4.5 m
"k1, Nguyen Tri Phuong, Phường Bửu Hòa, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông,,,Nhà ngõ,,13 m,66 m²,2950000000,"44,7 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,66 m²,2 phòng,Phường Bửu Hòa,5 m
"Đường ĐT 769, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,Đông,,Bàn giao thô,Nhà biệt thự,,15 m,185 m²,5700000000,"54,29 triệu/m²",Đã có sổ,,Đồng Nai,3 phòng,105 m²,2 phòng,Thị trấn Long Thành,7 m
"Khác, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,1,,Nhà ngõ,,10 m,100 m²,2900000000,"52,73 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,55 m²,2 phòng,Phường Tân Phong,5 m
"huỳnh văn nghê, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,,,4300000000,"59,72 triệu/m²",,,Đồng Nai,3 phòng,72 m²,3 phòng,Phường Bửu Long,
"Đường Trần Quốc Toản, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,1,,Nhà mặt phố,,10 m,120 m²,3500000,58.333 đ/m²,Đã có sổ,,Đồng Nai,3 phòng,60 m²,1 phòng,Phường An Bình,6 m
"Đường N1, Phường An Hoà, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà biệt thự,,21 m,392 m²,3550000,33.809 đ/m²,,,Đồng Nai,5 phòng,105 m²,3 phòng,Phường An Hoà,5 m
"Đường N1, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà ngõ,,18 m,120 m²,3300000,40.740 đ/m²,,,Đồng Nai,2 phòng,81 m²,2 phòng,Phường Phước Tân,4.5 m
"Đường Đồng Khởi, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,thửa đất số 288 tờ bản đồ số 19,Đông,2,Nội thất đầy đủ,Nhà phố liền kề,,23 m,85 m²,7500000000,"88,24 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,85 m²,3 phòng,Phường Tân Hiệp,4 m
"221c/5, Đường Nguyễn Ái Quốc, Phường Tân Biên, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,Khu phố 2,Đông,2,Nội thất đầy đủ,Nhà biệt thự,,30 m,270 m²,3150000000,"11,67 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,8 phòng,270 m²,5 phòng,Phường Tân Biên,9 m
"Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Nội thất đầy đủ,Nhà ngõ,,20 m,160 m²,2500000000,25 triệu/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,100 m²,2 phòng,Phường Trảng Dài,5 m
"Đường Quốc Lộ 51, Phường Long Bình Tân, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Hoàn thiện cơ bản,Nhà ngõ,,27 m,121 m²,1600000000,"13,22 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,3 phòng,121 m²,1 phòng,Phường Long Bình Tân,4.5 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai",Thành phố Biên Hòa,TH1-08,,2,Bàn giao thô,Nhà phố liền kề,,20 m,200 m²,9971066908,"90,65 triệu/m²",Giấy tờ khác,,Đồng Nai,3 phòng,110 m²,3 phòng,Xã Long Hưng,5 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,3,Bàn giao thô,Nhà biệt thự,,25 m,140 m²,13887000000,"73,09 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,190 m²,4 phòng,Xã Long Hưng,7 m
"Đường Nguyễn Thái Học, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Tây,,Hoàn thiện cơ bản,Nhà ngõ,,10 m,80 m²,1250000000,"15,63 triệu/m²",Đang chờ sổ,,Đồng Nai,2 phòng,80 m²,2 phòng,Phường Trảng Dài,8 m
"Hương Lộ 2 (Ngô Quyền nối dài), Xã Long Hưng, Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Nội thất cao cấp,Nhà mặt phố,,20 m,200 m²,7000000000,"63,64 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,110 m²,3 phòng,Xã Long Hưng,5 m
"Đường Phi Trường, Xã Tân Bình, Huyện Vĩnh Cửu, Đồng Nai",Huyện Vĩnh Cửu,,,,,Nhà mặt phố,,22 m,100 m²,1100000000,11 triệu/m²,Đã có sổ,,Đồng Nai,3 phòng,100 m²,1 phòng,Xã Tân Bình,4.6 m
"Đường Hương lộ 2, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Nam,,Nội thất cao cấp,Nhà biệt thự,,20 m,175 m²,9000000000,"51,43 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Đồng Nai,5 phòng,175 m²,4 phòng,Xã Long Hưng,10 m
"Đường Bùi Trọng Nghĩa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Bắc,,Nội thất đầy đủ,Nhà ngõ,,17 m,100 m²,1500000000,"17,65 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,2 phòng,85 m²,2 phòng,Phường Trảng Dài,5 m
"79/3, Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Tây Bắc,1,Nội thất đầy đủ,Nhà biệt thự,,38 m,300 m²,5962000000,22 triệu/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,4 phòng,271 m²,3 phòng,Phường Tân Hiệp,7 m
"Đường D2, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,khu 3,Tây Nam,2,,Nhà mặt phố,,20 m,150 m²,27000000,270.000 đ/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,100 m²,3 phòng,Xã Long Hưng,5 m
