address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,furnishing_sell,price,price_m2,property_legal_document,property_status,region,rooms,size,toilets,unitnumber,ward
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương., Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,900000000,"25,71 triệu/m²",Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,35 m²,1 phòng,,Phường Thuận Giao
"Đường Đại Lộ Bình Dương, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,890000000,"12,71 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,70 m²,2 phòng,,Phường An Phú
"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,Hoàn thiện cơ bản,1370000000,"24,91 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,55 m²,2 phòng,,Phường Dĩ An
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,B2,,32,Hoàn thiện cơ bản,2450000000,"31,41 triệu/m²",Đang chờ sổ,Đã bàn giao,Bình Dương,2 phòng,78 m²,2 phòng,09,Phường An Bình
"Đường Quốc lộ 1K, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,Hoàn thiện cơ bản,1640000000,"32,16 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,51 m²,2 phòng,,Phường Đông Hòa
"Mặt tiền đường Thống Nhất, phường Đông Hoà, Dĩ An, Bình Dương., Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,Hoàn thiện cơ bản,1640000000,"32,16 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,51 m²,2 phòng,,Phường Đông Hòa
"Lê văn kiet, Phường Định Hoà, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,B3-3,,,,250000000,"8,33 triệu/m²",Đang chờ sổ,Đã bàn giao,Bình Dương,1 phòng,30 m²,2 phòng,,Phường Định Hoà
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Căn hộ dịch vụ,Thành phố Thuận An,Tây,B,Đông Nam,8,Nội thất cao cấp,1000000000,25 triệu/m²,Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Thuận Giao
"Đại lộ Bình Dương (Quốc lộ 13), phường Lái Thiêu, thành phố Thuận An, Tỉnh Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,,A,Đông Nam,27,,1960000000,"36,98 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,53 m²,1 phòng,A27.10,Phường Lái Thiêu
"Đường Quốc lộ 1K, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Đông Nam,B,,14,Hoàn thiện cơ bản,1450000000,"33,72 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,43.42 m²,1 phòng,01,Phường Đông Hòa
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Nội thất cao cấp,900000000,"15,79 triệu/m²",,Chưa bàn giao,Bình Dương,2 phòng,57 m²,2 phòng,,Phường Thuận Giao
"42, Ấp Tân Lập, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Đông Nam,A,Tây Bắc,5,Hoàn thiện cơ bản,1250000000,"35,71 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,1 phòng,35 m²,1 phòng,A.05.01,Phường Đông Hòa
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1690000000,"22,53 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,3 phòng,75.83 m²,2 phòng,,Phường An Phú
"0916261918, Đường Hữu Nghị, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,2400000000,"39,34 triệu/m²",,Đã bàn giao,Bình Dương,2 phòng,61 m²,2 phòng,,Phường Bình Hòa
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,Đông Nam,,Nội thất cao cấp,3300000000,"36,67 triệu/m²",Đang chờ sổ,Đã bàn giao,Bình Dương,2 phòng,90 m²,2 phòng,,Phường An Bình
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,SA,,,Nội thất đầy đủ,1500000000,"27,27 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,55.19 m²,1 phòng,01,Phường Dĩ An
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,,,,,,1200000000,12 triệu/m²,Đã có sổ,Đã bàn giao,Bình Dương,3 phòng,100 m²,2 phòng,,Phường An Bình
"Đường Lê Thị Trung, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1100000000,"23,4 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,47 m²,1 phòng,,Phường An Phú
"Đường Quốc Lộ 13, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,,30000000,750.000 đ/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,40 m²,1 phòng,,Phường Phú Thọ
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Căn góc,Căn hộ dịch vụ,Thị xã Dĩ An,,,,,Nội thất cao cấp,1300000000,"31,71 triệu/m²",Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,41 m²,1 phòng,,Phường Dĩ An
"Số 11 Nguyễn Văn Tiết, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương., Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,Đông Bắc,A,,12,,150000000,"2,03 triệu/m²",,Chưa bàn giao,Bình Dương,2 phòng,74 m²,2 phòng,A12A-09,Phường Lái Thiêu
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,Diamond,,,Nội thất đầy đủ,1300000000,"23,64 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,1 phòng,55 m²,1 phòng,,Phường Dĩ An
"Đường Phạm Ngọc Thạch, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,Hoàn thiện cơ bản,800000000,20 triệu/m²,Đã có sổ,Đã bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Hiệp Thành
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,26000000,346.666 đ/m²,Đã có sổ,Đã bàn giao,Bình Dương,2 phòng,75 m²,1 phòng,,Phường Dĩ An
"Mặt tiền đường Quốc lộ 13 (Đại lộ Bình Dương), thành phố Thuận An, Bình Dương., Phường Bình Hòa, Thành phố Thuận An, Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,Đông Nam,Gemini,Đông,30,Nội thất cao cấp,1800000000,36 triệu/m²,Đang chờ sổ,Chưa bàn giao,Bình Dương,1 phòng,50 m²,1 phòng,,Phường Bình Hòa
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,,,,,Nội thất cao cấp,2519363000,"33,59 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,75 m²,2 phòng,,Phường Dĩ An
"Đường Đại Lộ Bình Dương, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Đông Nam,,,,Nội thất đầy đủ,680000000,"11,33 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,2 phòng,60 m²,2 phòng,,Phường Lái Thiêu
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,990000000,18 triệu/m²,,Chưa bàn giao,Bình Dương,2 phòng,55 m²,2 phòng,,Phường Thuận Giao
"Đường Xa lộ Hà Nội, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Đông Nam,A,Đông Nam,8,Hoàn thiện cơ bản,1000000000,"21,74 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,2 phòng,46 m²,1 phòng,25,Phường Bình Thắng
"Kha Vạn Cân, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,2550000000,34 triệu/m²,,Đã bàn giao,Bình Dương,2 phòng,75 m²,2 phòng,,Phường An Bình
"liên hệ 0986745539, Đường Đại Lộ Bình Dương, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,,1400000000,35 triệu/m²,,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Phú Thọ
"Đại lộ Bình Dương (Quốc lộ 13), phường Lái Thiêu, thành phố Thuận An, Tỉnh Bình Dương, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Nội thất cao cấp,2100000000,"38,89 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,54 m²,1 phòng,,Phường Lái Thiêu
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương",,Chung cư,Thị xã Dĩ An,,SA,,20,Hoàn thiện cơ bản,1650000000,30 triệu/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,55 m²,1 phòng,14,Phường Dĩ An
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,2550000000,34 triệu/m²,,Chưa bàn giao,Bình Dương,2 phòng,75 m²,2 phòng,,Phường An Bình
"Phú Đông Premier, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Đông Nam,,Tây Bắc,,Hoàn thiện cơ bản,2200000000,"32,35 triệu/m²",Giấy tờ khác,Đã bàn giao,Bình Dương,2 phòng,68 m²,2 phòng,,Phường An Bình
"Đường Quốc Lộ 13, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Bắc,Block C,Nam,18,Hoàn thiện cơ bản,1800000000,"26,87 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,67 m²,2 phòng,,Phường Lái Thiêu
"Đường Đào Trinh Nhất, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Tây Bắc,,Đông Nam,12,Hoàn thiện cơ bản,2200000000,"33,85 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,2 phòng,65 m²,2 phòng,,Phường An Bình
"Đường Quyết Thắng, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,,,,,Hoàn thiện cơ bản,1350000000,"24,11 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,2 phòng,56 m²,1 phòng,,Phường Bình Thắng
"Mặt tiền đường Quốc lộ 13 (Đại lộ Bình Dương), thành phố Thuận An, Bình Dương., Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Tây,A2,Đông,,Nội thất cao cấp,594000000,"6,6 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,3 phòng,90 m²,2 phòng,,Phường Bình Hòa
"Đường Đại Lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Officetel,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1700000000,34 triệu/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,50 m²,1 phòng,,Phường Thuận Giao
"Đường Nguyễn Du, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1500000000,"22,06 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,3 phòng,68 m²,2 phòng,,Phường Bình Hòa
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,,,,29,,90000000000,"2,307692307 tỷ/m²",Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,39 m²,1 phòng,,Phường Thuận Giao
"Đường Quốc Lộ 13, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,Hoàn thiện cơ bản,1200000000,30 triệu/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Phú Thọ
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,A,,,Hoàn thiện cơ bản,896000000,"27,15 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,1 phòng,33 m²,1 phòng,,Phường Thuận Giao
"Đường Nguyễn Thị Minh Khai, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,1600000000,"22,86 triệu/m²",,Chưa bàn giao,Bình Dương,2 phòng,70 m²,2 phòng,,Phường Thuận Giao
"QL 13, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1680000000,"24,35 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,69 m²,2 phòng,,Phường Thuận Giao
"Đường Đại Lộ Bình Dương, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,1800000000,"33,96 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,1 phòng,53 m²,1 phòng,,Phường Vĩnh Phú
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,2400000,32.000 đ/m²,Đang chờ sổ,Chưa bàn giao,Bình Dương,3 phòng,75 m²,2 phòng,,Phường An Phú
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,A,,,Hoàn thiện cơ bản,899000000,"24,97 triệu/m²",Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,36 m²,1 phòng,,Phường Thuận Giao
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương., Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,896000000,28 triệu/m²,Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,32.4 m²,1 phòng,,Phường Thuận Giao
"Đường Lê Thị Trung, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1400000000,"21,54 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,65 m²,2 phòng,,Phường An Phú
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,1500000000,25 triệu/m²,,Chưa bàn giao,Bình Dương,2 phòng,60 m²,2 phòng,,Phường An Phú
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Bắc,,Nam,6,Nội thất đầy đủ,1800000000,"21,43 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,3 phòng,84.5 m²,2 phòng,,Phường Dĩ An
"Đường Hữu Nghị, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,2600000000,"37,14 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,70.1 m²,2 phòng,,Phường Bình Hòa
"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Căn hộ dịch vụ,Thành phố Thuận An,Nam,,Đông Nam,,Hoàn thiện cơ bản,900000000,"19,57 triệu/m²",Đã có sổ,Đã bàn giao,Bình Dương,1 phòng,46 m²,1 phòng,,Phường Thuận Giao
"Đường Thống Nhất, Khu Phố Hiệp Thắng, phường Đông Hòa, TP Dĩ An, tỉnh Bình Dương., Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,Tây Bắc,Creative,Đông Nam,8,Nội thất cao cấp,2400000000,"38,71 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,62 m²,1 phòng,C.17,Phường Đông Hòa
"Đường Thống Nhất, Khu Phố Hiệp Thắng, phường Đông Hòa, TP Dĩ An, tỉnh Bình Dương., Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,Đông,,Nội thất cao cấp,3100000000,"36,47 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,3 phòng,85 m²,2 phòng,,Phường Đông Hòa
"Đường Lê Thị Trung, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1200000000,25 triệu/m²,Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,48 m²,1 phòng,,Phường An Phú
"Đường Quốc Lộ 13, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,Hoàn thiện cơ bản,1200000000,30 triệu/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Phú Thọ
"Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Đông,A,Đông,4,Nội thất cao cấp,900000000,"25,71 triệu/m²",Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,35 m²,1 phòng,A09,Phường Thuận Giao
"Đường Hữu Nghị, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Đông Nam,2,Tây,36,Nội thất cao cấp,200000000,5 triệu/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Bình Hòa
"Đường Quốc Lộ 13, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,Nội thất cao cấp,2200000000,"33,85 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,65 m²,2 phòng,,Phường Phú Thọ
"Đường Quốc Lộ 13, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Penthouse,Thành phố Thủ Dầu Một,,2,,36,Nội thất cao cấp,1200000000,30 triệu/m²,Đã có sổ,Chưa bàn giao,Bình Dương,1 phòng,40 m²,1 phòng,,Phường Phú Thọ
"Đường Lê Thị Trung, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1100000000,"22,92 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,48 m²,1 phòng,,Phường An Phú
"đường 45 Tân Lập, Phường Đônh Hòa, thị xã Dĩ An, Bình Dương, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,Đông Nam,,,1350000000,"33,75 triệu/m²",,Chưa bàn giao,Bình Dương,1 phòng,40.8 m²,1 phòng,,Phường Đông Hòa
"Đường Số 9, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Căn hộ dịch vụ,Thị xã Dĩ An,Đông Bắc,,Đông Bắc,,Nội thất đầy đủ,15000000000,120 triệu/m²,Đã có sổ,Chưa bàn giao,Bình Dương,4 phòng,125 m²,4 phòng,,Phường Dĩ An
"Đường Đại Lộ Bình Dương, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,2,,36,Nội thất cao cấp,1200000000,"14,46 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,3 phòng,83 m²,2 phòng,,Phường Phú Thọ
"Số 11 Nguyễn Văn Tiết, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương.",,Chung cư,Thành phố Thuận An,,,,,,1750000000,"26,92 triệu/m²",,Chưa bàn giao,Bình Dương,2 phòng,65 m²,2 phòng,,Phường Lái Thiêu
"Mặt tiền đường Quốc lộ 13 (Đại lộ Bình Dương), thành phố Thuận An, Bình Dương., Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,Hoàn thiện cơ bản,1890000000,"37,8 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,50 m²,1 phòng,,Phường Bình Hòa
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Nam,,Tây,,Hoàn thiện cơ bản,1450000000,"23,39 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,62 m²,2 phòng,,Phường An Phú
"Đường Quốc Lộ 13, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,The Gemini,,,Nội thất cao cấp,1890000000,"39,38 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,1 phòng,48 m²,1 phòng,,Phường Bình Hòa
"Đường Nguyễn Bỉnh Khiêm, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,Nội thất cao cấp,2400000000,"32,88 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,73 m²,2 phòng,,Phường Đông Hòa
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,2500000000,"29,41 triệu/m²",,Đã bàn giao,Bình Dương,2 phòng,85 m²,2 phòng,,Phường An Bình
