address,area,block,direction,land_feature,land_type,length,price,price_m2,property_back_condition,property_legal_document,property_road_condition,region,size,ward,width
"Đường Tân Thành 43, Thị trấn Tân Thành, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất nông nghiệp,245 m,26000000000,"1,35 triệu/m2",,Đã có sổ,,Bình Dương,19300 m2,Thị trấn Tân Thành,80 m
"Tân Thành, Thị trấn Tân Thành, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,41 m,12000000000,"4,83 triệu/m2",,,,Bình Dương,2484 m2,Thị trấn Tân Thành,60 m
"Đường nhựa 5m Thông, Phường Chánh Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Tây Nam,Mặt tiền,Đất thổ cư,20 m,1950000000,"19,5 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Phường Chánh Mỹ,5 m
"TÂN ĐỊNH 79, Xã Tân Định, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất nông nghiệp,,10500000000,500.000 đ/m2,,Đã có sổ,,Bình Dương,21000 m2,Xã Tân Định,
"Đường DK12, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,30 m,1850000000,"12,33 triệu/m2",,Đã có sổ,,Bình Dương,150 m2,Phường Mỹ Phước,5 m
"Đường 3||14818, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,19 m,865000000,"9,11 triệu/m2",,Đã có sổ,,Bình Dương,95 m2,Xã Vĩnh Tân,5 m
"Đường ĐT 750, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất thổ cư,12 m,750000000,"6,25 triệu/m2",,Đã có sổ,,Bình Dương,120 m2,Xã Trừ Văn Thố,10 m
"Đường D1, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Đông,Mặt tiền,Đất thổ cư,17 m,3900000000,"58,21 triệu/m2",,Đã có sổ,,Bình Dương,67 m2,Phường Thuận Giao,4 m
"Đường N1, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,Mặt tiền,Đất thổ cư,19.54 m,2150000000,"27,56 triệu/m2",,Đã có sổ,,Bình Dương,78.2 m2,Phường Bình Chuẩn,4 m
"Đường D1, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,Đất thổ cư,20 m,2350000000,"22,82 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,103 m2,Phường Tân Đông Hiệp,5 m
"Đường Tỉnh lộ 750, Xã Tân Long, Huyện Phú Giáo, Bình Dương",Huyện Phú Giáo,,Tây Nam,Mặt tiền,Đất thổ cư,42 m,1755000000,"8,4 triệu/m2",,Đã có sổ,,Bình Dương,209 m2,Xã Tân Long,5 m
"Đường Nguyễn Hữu Cảnh, Phường Hưng Định, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,Mặt tiền,Đất thổ cư,100 m,13000000,9.379 đ/m2,Nở hậu,Đã có sổ,,Bình Dương,1386 m2,Phường Hưng Định,15 m
"Thành Niên 3, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất thổ cư,29 m,820000000,"5,66 triệu/m2",,Đã có sổ,,Bình Dương,145 m2,Xã Trừ Văn Thố,5 m
"dt750, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,,Đất thổ cư,12 m,749000000,"12,48 triệu/m2",,Đã có sổ,,Bình Dương,60 m2,Xã Trừ Văn Thố,5 m
"Vĩnh Tân 25, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,20 m,800000000,8 triệu/m2,,Đã có sổ,,Bình Dương,100 m2,Phường Mỹ Phước,5 m
"Đường ĐT 741, Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,22 m,1050000000,"6,18 triệu/m2",,Đã có sổ,,Bình Dương,170 m2,Phường Hòa Lợi,8 m
"Đường Lê Hồng Phong, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,Đất thổ cư,175 m,2600000000,"26,8 triệu/m2",,,Hẻm xe hơi,Bình Dương,97 m2,Phường Phú Hòa,55 m
"Đường 62, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Đất thổ cư,18 m,990000000,"8,25 triệu/m2",,Đã có sổ,,Bình Dương,120 m2,Phường Bình Chuẩn,7 m
"Đường Số 20 Và Số 7, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,Mặt tiền,Đất thổ cư,20 m,7290000000,"52,07 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,140 m2,Phường Hiệp Thành,7 m
"d1, Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,21 m,895000000,"8,52 triệu/m2",,Đã có sổ,,Bình Dương,105 m2,Xã Bình Mỹ,5 m
"Đường Số 20, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,Mặt tiền,Đất thổ cư,20 m,7300000000,"52,14 triệu/m2",,Đang chờ sổ,,Bình Dương,140 m2,Phường Hiệp Thành,7 m
"Nguyễn văn châu, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,Đất thổ cư,20 m,2300000000,"23,96 triệu/m2",,Đã có sổ,,Bình Dương,96 m2,Phường Phú Mỹ,5 m
"bê tông, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,Mặt tiền,Đất thổ cư,,1650000000,"26,61 triệu/m2",,Đã có sổ,,Bình Dương,62.8 m2,Phường Tân Bình,
"Đường D8, xã Long Nguyên Huyện Bàu Bàng, Tỉnh Bình Dương, Xã Long Nguyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,Khu nhà ở Tài Lộc,Tây Bắc,Mặt tiền,Đất thổ cư,15 m,1800000000,24 triệu/m2,Nở hậu,Đã có sổ,,Bình Dương,75 m2,Xã Long Nguyên,5 m
"đường MP4, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,16 m,1150000000,"14,38 triệu/m2",,,,Bình Dương,80 m2,Phường Mỹ Phước,5 m
"Đường Phạm Ngọc Thạch, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,,Đất thổ cư,20 m,7300000000,"52,14 triệu/m2",,,,Bình Dương,140 m2,Phường Hiệp Thành,7 m
"DX 001, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,Đất thổ cư,35 m,5990000000,"21,39 triệu/m2",,Đã có sổ,,Bình Dương,280 m2,Phường Phú Mỹ,8 m
"Mặt tiền đại lộ bình dương, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,Mặt tiền,Đất thổ cư,65 m,39600000000,36 triệu/m2,Nở hậu,Đã có sổ,,Bình Dương,1100 m2,Phường Phú Thọ,15 m
"Đường ĐT 741, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,20 m,720000000,"7,2 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Phường Chánh Phú Hòa,5 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,24 m,830000000,"6,92 triệu/m2",,Đã có sổ,,Bình Dương,120 m2,Xã Vĩnh Tân,5 m
"nhánh đường lớn Nguyễn Chí Thanh, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Tây,,Đất thổ cư,28 m,2400000000,"14,63 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,164 m2,Phường Hiệp An,6 m
"Đường Đào Sư Tích, Phường Bình An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Tây,Mặt tiền,Đất thổ cư,24 m,3500000000,"20,35 triệu/m2",,Đã có sổ,,Bình Dương,172 m2,Phường Bình An,8 m
"Đường DX 05, Xã Bạch Đằng, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,75 m,14000000000,"6,36 triệu/m2",,Đã có sổ,,Bình Dương,2200 m2,Xã Bạch Đằng,29 m
"D6, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Bắc,Mặt tiền,Đất thổ cư,20 m,1350000000,"13,5 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Xã Hội Nghĩa,5 m
"Đường Bùi Thị Xuân, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,Mặt tiền,Đất thổ cư,20 m,3500000000,35 triệu/m2,,Đã có sổ,,Bình Dương,100 m2,Phường Tân Bình,5 m
"Đường Bê Tông 4m, Phường Tương Bình Hiệp, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Bắc,,Đất thổ cư,14.5 m,1350000000,"18,49 triệu/m2",,Đã có sổ,,Bình Dương,73 m2,Phường Tương Bình Hiệp,5 m
"Đường ĐT 749, Xã Long Tân, Huyện Dầu Tiếng, Bình Dương",Huyện Dầu Tiếng,,Đông,Mặt tiền,Đất thổ cư,38 m,920000000,"4,84 triệu/m2",,Đã có sổ,,Bình Dương,190 m2,Xã Long Tân,5 m
"Đường D17, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Đất thổ cư,15 m,1050000000,"9,13 triệu/m2",,Đã có sổ,,Bình Dương,115 m2,Phường An Phú,7 m
"Đường NE2, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,20 m,1550000000,"15,5 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Phường Mỹ Phước,5 m
"Đường DX 094, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,Mặt tiền,Đất thổ cư,22 m,1950000000,"17,73 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,110 m2,Phường Hiệp An,5 m
"Sec Đường Trần Văn Ơn, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,,Đất thổ cư,25 m,2380000000,"23,8 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,100 m2,Phường Phú Hòa,4 m
"Đường DT 742, Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,20 m,900000000,9 triệu/m2,,Đã có sổ,,Bình Dương,100 m2,Phường Uyên Hưng,5 m
"Đường DH516, Xã Long Nguyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất thổ cư,20 m,650000000,"6,5 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Xã Long Nguyên,5 m
"Đường ĐT 746, Xã Tân Lập, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,14 m,790000000,"9,88 triệu/m2",,Đã có sổ,,Bình Dương,80 m2,Xã Tân Lập,5 m
"Đường Bình Nhâm 16, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Nam,Mặt tiền,Đất thổ cư,25 m,2680000000,"22,33 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,120 m2,Phường Bình Nhâm,5 m
"Đường D1, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Đất thổ cư,20 m,850000000,"8,5 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Phường An Phú,5 m
"Bình Nhâm 16, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Nam,Mặt tiền,Đất thổ cư,26 m,7400000000,"12,76 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,580 m2,Phường Bình Nhâm,14 m
"Đường DA2, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,,790000000,"13,17 triệu/m2",,Đã có sổ,,Bình Dương,60 m2,Phường Thới Hòa,
"Vĩnh Phú 33, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Bắc,Mặt tiền,Đất thổ cư,22 m,3300000000,30 triệu/m2,,Đã có sổ,Hẻm xe hơi,Bình Dương,110 m2,Phường Vĩnh Phú,5 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Bắc,Mặt tiền,Đất thổ cư,14 m,910000000,13 triệu/m2,,Đã có sổ,,Bình Dương,70 m2,Xã Vĩnh Tân,5 m
"Đường Trần Quang Diệu, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Tây Nam,Mặt tiền,Đất thổ cư,42 m,14000000000,"26,37 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,531 m2,Phường Tân Bình,12 m
"Đường Nguyễn Văn Thành, Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,18 m,1390000000,"15,44 triệu/m2",,Đã có sổ,,Bình Dương,90 m2,Phường Hòa Lợi,5 m
"DH 601, Phường Tân Định, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,25 m,5000000,40.000 đ/m2,,Đã có sổ,,Bình Dương,125 m2,Phường Tân Định,5 m
"D5, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Đông,Mặt tiền,Đất thổ cư,18 m,2100000000,"29,17 triệu/m2",,Đã có sổ,,Bình Dương,72 m2,Phường Bình Chuẩn,4 m
"Đường Quốc Lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất nền dự án,,800000000,8 triệu/m2,,Đã có sổ,,Bình Dương,100 m2,Thị trấn Lai Uyên,
"29 tân Thành, Thị trấn Tân Thành, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,Tây,Mặt tiền,Đất thổ cư,56 m,2500000000,"5,58 triệu/m2",,Đã có sổ,,Bình Dương,448 m2,Thị trấn Tân Thành,8 m
"Ngã Ba Lăng Xi, Phường Tân Định, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,16 m,1020000000,"12,75 triệu/m2",,Đã có sổ,,Bình Dương,80 m2,Phường Tân Định,5 m
"đường ĐT 741, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,20 m,850000000,"5,67 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,150 m2,Phường Chánh Phú Hòa,5 m
"đường ĐT 742, Xã Tân Bình, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,20 m,800000000,8 triệu/m2,,Đã có sổ,,Bình Dương,100 m2,Xã Tân Bình,5 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,25 m,980000000,"7,84 triệu/m2",,Đã có sổ,,Bình Dương,125 m2,Xã Vĩnh Tân,5 m
"Đường ĐT 743, Phường Thái Hòa, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,11 m,480000,10.909 đ/m2,,Đang chờ sổ,,Bình Dương,44 m2,Phường Thái Hòa,4 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,,630000000,"5,25 triệu/m2",,,,Bình Dương,120 m2,Xã Vĩnh Tân,
"Đường Quốc Lộ 13, Xã Lai Hưng, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất nông nghiệp,117 m,1500000000,"1,27 triệu/m2",,Đã có sổ,,Bình Dương,1177 m2,Xã Lai Hưng,10 m
"1 sec lê chí dân, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Bắc,,Đất thổ cư,45 m,1950000000,"8,67 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,225 m2,Phường Hiệp An,5 m
"DT744, Xã Định An, Huyện Dầu Tiếng, Bình Dương",Huyện Dầu Tiếng,,,Mặt tiền,Đất nông nghiệp,55 m,990000,825 đ/m2,,Đang chờ sổ,,Bình Dương,1200 m2,Xã Định An,20 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,13 m,1100000000,"15,28 triệu/m2",,Đã có sổ,,Bình Dương,72 m2,Xã Vĩnh Tân,7 m
"N2, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Tây Bắc,Mặt tiền,Đất nền dự án,20 m,8800000000,44 triệu/m2,,Đã có sổ,,Bình Dương,200 m2,Phường Lái Thiêu,10 m
"Đường Đại Lộ Bình Dương, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Bắc,Mặt tiền,Đất thổ cư,47 m,25000000000,"30,05 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,832 m2,Phường Hiệp An,17 m
"Mặt Tiền Mỹ Phước Tân Vạn, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Bắc,Mặt tiền,Đất thổ cư,43 m,6517000000,"27,5 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,237 m2,Phường Phú Lợi,5 m
"Dx 89, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Tây Bắc,Mặt tiền,Đất thổ cư,40 m,2500000000,"15,63 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,160 m2,Phường Hiệp An,5 m
"BÌNH NHÂM 29, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Đất thổ cư,23 m,1600000000,"10,96 triệu/m2",,,Hẻm xe hơi,Bình Dương,146 m2,Phường Bình Nhâm,6 m
"Thanh Niên, Xã An Thái, Huyện Phú Giáo, Bình Dương",Huyện Phú Giáo,,,Mặt tiền,Đất thổ cư,50 m,870000000,"3,48 triệu/m2",,Đã có sổ,,Bình Dương,250 m2,Xã An Thái,5 m
"Đường ĐT 741, Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,,780000000,"8,67 triệu/m2",,Đã có sổ,,Bình Dương,90 m2,Xã Bình Mỹ,
"Cây Trường 19, Xã Cây Trường II, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Tây Nam,Mặt tiền,Đất thổ cư,50 m,1330000000,"5,36 triệu/m2",,Đã có sổ,,Bình Dương,248 m2,Xã Cây Trường II,5 m
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,24 m,900000000,"7,5 triệu/m2",,Đã có sổ,,Bình Dương,120 m2,Xã Vĩnh Tân,5 m
"Đường ĐT 743, Phường An Phú, Thuận An, Bình Dương",Thành phố Thuận An,D,Đông,Mặt tiền,Đất thổ cư,17 m,1620000000,"23,82 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,68 m2,Phường An Phú,4 m
"Đường Quốc Lộ 13, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,A,Đông Nam,Mặt tiền,Đất thổ cư,20 m,2790000000,"27,9 triệu/m2",,Đã có sổ,,Bình Dương,100 m2,Phường Mỹ Phước,5 m
"Đường Số 8, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Bắc,Mặt tiền,Đất thổ cư,,6600000000,"52,8 triệu/m2",,Đã có sổ,,Bình Dương,125 m2,Phường Dĩ An,5 m
"Đường 23, Phường Tân Hiệp, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,20 m,770000000,"7,7 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,100 m2,Phường Tân Hiệp,5 m
"Đường HL 410, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Đông,,Đất thổ cư,28 m,1150000000,"7,01 triệu/m2",,Đã có sổ,,Bình Dương,164 m2,Xã Vĩnh Tân,6 m
"khánh bình 06, Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,57 m,10000000,17.667 đ/m2,,,,Bình Dương,566 m2,Phường Khánh Bình,10 m
"Đường G, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Nam,Mặt tiền,Đất thổ cư,20 m,7700000000,"63,64 triệu/m2",,Đã có sổ,,Bình Dương,121 m2,Phường Dĩ An,6.5 m
"Đường Quốc Lộ 13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất nền dự án,16 m,1050000000,"13,13 triệu/m2",,Đã có sổ,,Bình Dương,80 m2,Phường Thới Hòa,5 m
"Đường ĐT 746, Thị trấn Tân Thành, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,,Đất thổ cư,,3600000000,"6,74 triệu/m2",,Đã có sổ,,Bình Dương,534 m2,Thị trấn Tân Thành,
"Đường Dân Chủ, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,21 m,1000000000,"6,67 triệu/m2",,Đã có sổ,,Bình Dương,150 m2,Xã Vĩnh Tân,7 m
"Đường Phạm Ngọc Thạch, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,Mặt tiền,Đất thổ cư,,7600000000,"44,71 triệu/m2",,Đã có sổ,,Bình Dương,170.8 m2,Phường Hiệp Thành,
"Đường ĐT 746, Xã Tân Lập, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,16 m,910000000,"11,38 triệu/m2",,Đã có sổ,,Bình Dương,80 m2,Xã Tân Lập,5 m
"Đường Chiêu Liêu, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,Đất thổ cư,12 m,2520000000,"40,65 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Bình Dương,62 m2,Phường Tân Đông Hiệp,5 m
"dx121, Phường Tân An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Tây,,Đất thổ cư,22 m,1380000,9.857 đ/m2,,,Hẻm xe hơi,Bình Dương,140 m2,Phường Tân An,7 m
