address,area,block,direction,floors,furnishing_sell,house_type,land_type,length,living_size,price,price_m2,property_legal_document,property_road_condition,region,rooms,size,toilets,ward,width
"Đường NE2, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,Đông Nam,2,Bàn giao thô,Nhà phố liền kề,,20 m,120 m²,2350000000,"23,5 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,100 m²,3 phòng,Phường Thới Hòa,5 m
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Nội thất cao cấp,Nhà mặt phố,,17 m,150 m²,3100000000,"36,47 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,85 m²,2 phòng,Phường An Phú,5 m
"Đường ĐT 744, Xã Thanh An, Huyện Dầu Tiếng, Bình Dương",Huyện Dầu Tiếng,,Đông Nam,,Hoàn thiện cơ bản,Nhà mặt phố,,30 m,75 m²,2700000000,"8,79 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,307 m²,2 phòng,Xã Thanh An,10 m
"Đường Dân Chủ, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,,Nhà phố liền kề,,20 m,130 m²,2700000000,27 triệu/m²,,,Bình Dương,3 phòng,100 m²,2 phòng,Xã Vĩnh Tân,5 m
"Đường Thích Quảng Đức, Phường Phú Cường, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Nam,,Nội thất đầy đủ,Nhà ngõ,,10 m,100 m²,2250000000,"22,5 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,100 m²,2 phòng,Phường Phú Cường,10 m
"Đường Nguyễn Du, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,80 m,621 m²,10200000000,"16,43 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,621 m²,,Phường Bình Hòa,8 m
"Đường Phan Bội Châu, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông,,Hoàn thiện cơ bản,Nhà ngõ,,12 m,58 m²,1780000000,"30,69 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,58 m²,1 phòng,Phường Dĩ An,5 m
"Đường GS3, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Tây Nam,,,Nhà mặt phố,,17 m,284 m²,7000000000,"77,78 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,90 m²,4 phòng,Phường Đông Hòa,4 m
"Đường Bình Chuẩn 44, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà ngõ,,15 m,120 m²,1000000000,"16,67 triệu/m²",Đang chờ sổ,,Bình Dương,3 phòng,60 m²,2 phòng,Phường Bình Chuẩn,4 m
"74/18, Tổ 10 Khu Phố Hóa Nhựt, Xã Tân Vĩnh Hiệp, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,,Nhà ngõ,,10 m,40 m²,500000000,"12,5 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Bình Dương,1 phòng,40 m²,1 phòng,Xã Tân Vĩnh Hiệp,4 m
"Đường Trần Thị Dương, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Nam,1,,Nhà ngõ,,11 m,,1400000000,"25,45 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Bình Dương,2 phòng,55 m²,2 phòng,Phường Tân Đông Hiệp,5 m
"Đường Lê Hồng Phong, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Bắc,,,Nhà ngõ,,20 m,100 m²,1790000000,"29,34 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,61 m²,2 phòng,Phường Tân Đông Hiệp,3 m
"thuận giao 02, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà ngõ,,15 m,60 m²,1050000000,"17,5 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Bình Dương,2 phòng,60 m²,2 phòng,Phường Thuận Giao,4 m
"Đường Bến Đồn, Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,,Nhà mặt phố,,14 m,60 m²,1400000000,"23,33 triệu/m²",Đã có sổ,,Bình Dương,1 phòng,60 m²,1 phòng,Phường Hòa Lợi,5 m
"Đường D22, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Đông,,,Nhà mặt phố,,32 m,160 m²,6200000000,"38,75 triệu/m²",,,Bình Dương,1 phòng,160 m²,1 phòng,Phường An Phú,5 m
"Đường Nguyễn Đình Chiểu, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Tây Bắc,,Nội thất cao cấp,Nhà mặt phố,,,180 m²,4100000000,41 triệu/m²,Đã có sổ,,Bình Dương,3 phòng,100 m²,2 phòng,Phường Đông Hòa,5 m
"Đường Quốc Lộ 13, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,15 m,75 m²,1500000000,20 triệu/m²,,,Bình Dương,2 phòng,75 m²,3 phòng,Phường Thuận Giao,5 m
"Đường 28, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Đông Nam,,,Nhà ngõ,,21 m,,1100000000,"11,58 triệu/m²",,,Bình Dương,4 phòng,95 m²,2 phòng,Phường Tân Phước Khánh,4.5 m
"Đường D28, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Bắc,,Hoàn thiện cơ bản,Nhà mặt phố,,20 m,100 m²,3100000000,31 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,100 m²,2 phòng,Phường An Phú,5 m
"345, Đường Nguyễn An Ninh, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Nam,,Hoàn thiện cơ bản,Nhà ngõ,,11 m,60 m²,2100000000,"47,73 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,44 m²,1 phòng,Phường Tân Đông Hiệp,4 m
"Đường Trần Hưng Đạo, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,,Nhà ngõ,,,70 m²,900000000,"25,71 triệu/m²",Giấy tờ khác,,Bình Dương,2 phòng,35 m²,2 phòng,Phường Đông Hòa,
"Đường Trần Hưng Đạo, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,,Nhà ngõ,,8 m,60 m²,900000000,"22,5 triệu/m²",,,Bình Dương,2 phòng,40 m²,2 phòng,Phường Đông Hòa,5 m
"Đường Nguyễn Đức Thuận, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,1,,Nhà ngõ,,25 m,120 m²,4500000000,"37,5 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,120 m²,2 phòng,Phường Hiệp Thành,4.5 m
"Đường D5, Phường Tân Định, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,,Nhà phố liền kề,,16 m,64 m²,1100000000,"17,19 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,64 m²,1 phòng,Phường Tân Định,4 m
"Đường Vũng Thiện, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Bắc,3,Nội thất đầy đủ,Nhà mặt phố,,17 m,152 m²,2800000000,"41,18 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,68 m²,3 phòng,Phường Tân Đông Hiệp,4 m
"Dt750, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Đông Nam,,Nội thất cao cấp,Nhà mặt phố,,37 m,205 m²,2740000000,"13,37 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,205 m²,1 phòng,Xã Trừ Văn Thố,5 m
"Quốc Lộ 13, Phường Tân Định, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,,Nhà mặt phố,,12.4 m,64 m²,1200000000,"18,75 triệu/m²",,,Bình Dương,2 phòng,64 m²,2 phòng,Phường Tân Định,5 m
"Đường Bê Tông 3m, Phường Tân An, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,Hoàn thiện cơ bản,Nhà ngõ,,14 m,70 m²,1980000000,15 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,132 m²,2 phòng,Phường Tân An,11 m
"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,Đông Bắc,,Nội thất cao cấp,Nhà mặt phố,,20 m,303 m²,5350000000,"52,97 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,101 m²,4 phòng,Phường An Phú,5 m
"Đường Số 4, Phường Thái Hòa, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Nam,3,Nội thất đầy đủ,Nhà mặt phố,,20 m,300 m²,3800000000,38 triệu/m²,Đã có sổ,,Bình Dương,4 phòng,100 m²,4 phòng,Phường Thái Hòa,5 m
"Đường Bình Hòa 24, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,Hoàn thiện cơ bản,Nhà mặt phố,,30 m,300 m²,753000000,"2,42 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,1 phòng,311 m²,1 phòng,Phường Bình Hòa,10 m
"Đường Nguyễn Đức Thuận, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,Nội thất cao cấp,Nhà ngõ,,12 m,87 m²,3250000000,"37,36 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,87 m²,3 phòng,Phường Hiệp Thành,6 m
"Đường DX 043, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông,,,Nhà mặt phố,,21 m,150 m²,3750000000,"39,47 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,95 m²,3 phòng,Phường Phú Mỹ,4 m
"Đường Tô Vĩnh Diện, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Bắc,,,Nhà ngõ,,17 m,120 m²,3500000000,"50,72 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,69 m²,2 phòng,Phường Đông Hòa,4 m
"dx043, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,2,Nội thất đầy đủ,Nhà mặt phố,,19 m,96 m²,3700000000,"38,54 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,96 m²,3 phòng,Phường Phú Mỹ,5 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1360000000,"9,07 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,150 m²,3 phòng,Thị trấn Lai Uyên,5 m
"203, 203 Đường Quốc lộ 1K, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Bắc,,Hoàn thiện cơ bản,Nhà phố liền kề,,13 m,100 m²,3800000000,"59,38 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,64 m²,2 phòng,Phường Dĩ An,5 m
"Đường Số 5, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,3,Hoàn thiện cơ bản,Nhà mặt phố,,,180 m²,4700000000,"78,33 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,60 m²,3 phòng,Phường Tân Đông Hiệp,
"Đường Trần Hưng Đạo, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Tây Nam,1,Nội thất đầy đủ,Nhà mặt phố,,34 m,173 m²,9600000000,"55,49 triệu/m²",Đã có sổ,,Bình Dương,1 phòng,173 m²,1 phòng,Phường Đông Hòa,5 m
"Đường Thủ Khoa Huân – Tân Phước Khánh 10, phường Tân Phước Khánh, TX Tân Uyên, Bình Dương., Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,3,Bàn giao thô,Nhà phố liền kề,,20 m,228 m²,690000000,"6,9 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,100 m²,4 phòng,Phường Tân Phước Khánh,5 m
"Đường Số 5, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,3,Hoàn thiện cơ bản,Nhà mặt phố,,,180 m²,4700000000,"78,33 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,60 m²,3 phòng,Phường Tân Đông Hiệp,
"d8s, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,Đông,3,,Nhà mặt phố,,16 m,167 m²,2850000000,"35,63 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Bình Dương,4 phòng,80 m²,,Phường Thới Hòa,5 m
"Đường Đào Trinh Nhất, Phường An Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,C3,Tây Nam,3,Hoàn thiện cơ bản,Nhà mặt phố,,21 m,332 m²,11800000000,"112,38 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,105 m²,4 phòng,Phường An Bình,5 m
"Đường N14, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1430000000,"9,53 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,150 m²,3 phòng,Thị trấn Lai Uyên,5 m
"Đường Lê Hồng Phong, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,,Nhà mặt phố,,62 m,238 m²,600000000,"2,52 triệu/m²",Đã có sổ,,Bình Dương,nhiều hơn 10 phòng,238 m²,Nhiều hơn 6 phòng,Phường Phú Hòa,3 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà mặt phố,,30 m,150 m²,1430000000,"9,53 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Thị trấn Lai Uyên,5 m
"203, 203 Đường Quốc lộ 1K, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,Hoàn thiện cơ bản,Nhà phố liền kề,,17 m,,4800000000,"70,59 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,68 m²,2 phòng,Phường Dĩ An,4 m
"Đường N3, Xã Lai Hưng, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà mặt phố,,30 m,150 m²,1480000000,"9,87 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Xã Lai Hưng,5 m
"Đường Đào Duy Từ, Phường Đông Hòa, Dĩ An, Bình Dương, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,A,Tây Bắc,3,Bàn giao thô,Nhà phố liền kề,,23 m,175 m²,3900000000,"42,39 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,5 phòng,92 m²,4 phòng,Phường Đông Hòa,4 m
"6, Đường 7B, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,D,Tây Nam,1,Nội thất cao cấp,Nhà phố liền kề,,18 m,90 m²,2350000000,"261,11 triệu/m²",Đang chờ sổ,,Bình Dương,2 phòng,9 m²,2 phòng,Phường Mỹ Phước,5 m
"đường 13, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Nam,,,Nhà mặt phố,,15 m,84 m²,5000000000,"59,52 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,84 m²,2 phòng,Phường Dĩ An,5.5 m
"Đường Vành Đai 4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,,Nhà biệt thự,,14 m,,1650000000,"18,13 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,91 m²,2 phòng,Phường Thới Hòa,5 m
"Đường D, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,30 m,400 m²,5180000000,"34,53 triệu/m²",Đã có sổ,,Bình Dương,7 phòng,150 m²,3 phòng,Phường An Phú,5 m
"61, Đường Bùi Quốc Khánh, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Đông Bắc,1,,Nhà mặt phố,,10 m,63 m²,4500000000,"71,43 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,63 m²,1 phòng,Phường Chánh Nghĩa,6 m
"Đường ĐT 749A, Xã Long Nguyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,Nội thất đầy đủ,Nhà ngõ,,50 m,500 m²,1350000000,"2,7 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,500 m²,1 phòng,Xã Long Nguyên,10 m
"Đường Mỹ Phước Tân Vạn, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,,,Nhà mặt phố,,30 m,150 m²,1570000000,"10,47 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Thị trấn Lai Uyên,5 m
"Ấp Xóm Mới, DH 706, Xã Thanh An, Huyện Dầu Tiếng, Bình Dương",Huyện Dầu Tiếng,,Đông Nam,,Nội thất đầy đủ,Nhà mặt phố,,85 m,710 m²,1350000000,"1,9 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,710 m²,1 phòng,Xã Thanh An,9 m
"Đường DT747, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Đông Nam,,,Nhà ngõ,,15 m,60 m²,550000000,"9,17 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Bình Dương,2 phòng,60 m²,2 phòng,Xã Hội Nghĩa,4 m
"Đường Lê Chí Dân, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,,Nhà mặt phố,,33 m,128 m²,300000000,"2,34 triệu/m²",Đã có sổ,,Bình Dương,6 phòng,128 m²,6 phòng,Phường Phú Lợi,3 m
"Đường Thống Nhất, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông Nam,,Hoàn thiện cơ bản,Nhà mặt phố,,20 m,200 m²,600000000,3 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,nhiều hơn 10 phòng,200 m²,Nhiều hơn 6 phòng,Phường Bình Thắng,10 m
"Đường ĐT 742, Xã Phú Chánh, thị xã Tân Uyên, Bình Dương, Xã Phú Chánh, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,MB5,Đông Bắc,2,Bàn giao thô,Nhà mặt phố,,15 m,246 m²,2300000000,"34,33 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,67 m²,3 phòng,Xã Phú Chánh,4 m
"68, Đường Số 3, Phường Tương Bình Hiệp, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Bắc,2,Nội thất đầy đủ,Nhà mặt phố,,12 m,,3300000000,"27,5 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,120 m²,2 phòng,Phường Tương Bình Hiệp,10 m
"Đường N5, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,Khu đô thị Mỹ Phước 1,Tây,2,Nội thất đầy đủ,Nhà mặt phố,,30 m,600 m²,42000000,140.000 đ/m²,Đã có sổ,,Bình Dương,5 phòng,300 m²,5 phòng,Phường Mỹ Phước,10 m
"Đường ĐT 747, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,,Nhà ngõ,,15 m,75 m²,600000000,"6,67 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,90 m²,2 phòng,Xã Hội Nghĩa,5 m
"273, Đường Lê Hồng Phong, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,Tây Bắc,,Nội thất cao cấp,Nhà mặt phố,,34 m,120 m²,3950000000,"24,69 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,160 m²,2 phòng,Phường Phú Hòa,5 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1380000000,"9,2 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Thị trấn Lai Uyên,5 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1480000000,"9,87 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Thị trấn Lai Uyên,5 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1460000000,"9,73 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,150 m²,4 phòng,Thị trấn Lai Uyên,5 m
"Đường N13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1380000000,"9,2 triệu/m²",Đã có sổ,,Bình Dương,5 phòng,150 m²,5 phòng,Thị trấn Lai Uyên,5 m
"HL 401, Xã Thạnh Hội, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,Đông Nam,,,Nhà ngõ,,,,1550000000,"23,85 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,65 m²,1 phòng,Xã Thạnh Hội,4 m
"Đường N16, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,Bắc,,,Nhà phố liền kề,,30 m,150 m²,1360000000,"9,07 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,150 m²,3 phòng,Thị trấn Lai Uyên,5 m
"Đường Dân Chủ, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Bàn giao thô,Nhà phố liền kề,,20 m,137 m²,2650000000,"26,5 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,100 m²,3 phòng,Xã Vĩnh Tân,5 m
"Đường Vĩnh Phú 41, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,128 m,528 m²,1250000000,"2,37 triệu/m²",Đã có sổ,,Bình Dương,nhiều hơn 10 phòng,528 m²,Nhiều hơn 6 phòng,Phường Lái Thiêu,5 m
"Đường Quốc Lộ 13, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,2,Hoàn thiện cơ bản,Nhà biệt thự,,20 m,420 m²,3000000000,10 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,5 phòng,300 m²,3 phòng,Xã Trừ Văn Thố,15 m
