address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,floors,furnishing_sell,house_type,land_feature,land_type,length,living_size,price,price_m2,property_back_condition,property_legal_document,property_road_condition,property_status,region,rooms,size,toilets,type_real_estate,unitnumber,ward,width
"Đường ĐT 743, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,,Thị xã Dĩ An,,,Bắc,,,Hoàn thiện cơ bản,Nhà ngõ,,,26 m,108 m²,2720000000,"18,76 triệu/m²",,Đã có sổ,Hẻm xe hơi,,Bình Dương,2 phòng,145 m²,2 phòng,Đất,,Phường Bình Thắng,5.7 m
"Hl417, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương",,,Thị xã Tân Uyên,,,,,2,,Nhà mặt phố,,,19 m,79 m²,2650000000,"33,54 triệu/m²",,Đã có sổ,,,Bình Dương,3 phòng,79 m²,2 phòng,Đất,,Phường Tân Phước Khánh,4 m
"Đường Lê Thị Út, Phường Tân Đông Hiệp, Thị xã Dĩ An, ",,,Thị xã Dĩ An,,,5,,,,Nhà phố liền kề,,,14 m,136 m²,2900000000,"42,65 triệu/m²",,1,,,,3 phòng,68 m²,2 phòng,Đất,,Phường Tân Đông Hiệp,5 m
"Trân Hung Đao, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,,Thị xã Dĩ An,,,Bắc,,,Nội thất cao cấp,Nhà mặt phố,,,,120 m²,3390000000,"54,68 triệu/m²",,Đã có sổ,,,Bình Dương,3 phòng,62 m²,2 phòng,Đất,,Phường Đông Hòa,4 m
"Đường Nguyễn Đức Thuận, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",,,Thành phố Thủ Dầu Một,,,,,,2,Nhà ngõ,,,13.5 m,81 m²,3250000000,"40,12 triệu/m²",,Đã có sổ,Hẻm xe hơi,,Bình Dương,3 phòng,81 m²,3 phòng,Đất,,Phường Hiệp Thành,6 m
"Đường Quốc lộ 1K, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,b,,18,,,,,,,,1567000000,"30,73 triệu/m²",,Đã có sổ,,Chưa bàn giao,Bình Dương,2 phòng,51 m²,2 phòng,Nhà ở,,Phường Tân Đông Hiệp,
"Đường ĐT 741, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",,,Thị xã Bến Cát,,Ô9-LÔC1,Đông Bắc,,,Nội thất đầy đủ,Nhà phố liền kề,,,16 m,80 m²,1600000000,20 triệu/m²,Nở hậu,Đã có sổ,Hẻm xe hơi,,Bình Dương,2 phòng,80 m²,1 phòng,Nhà ở,3700,Phường Chánh Phú Hòa,5 m
"Đường Xa lộ Hà Nội, Bình Dương",,1,,,,,,,,,,,,,1035000000,"21,12 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,49 m²,1 phòng,Nhà ở,,,
"Đường Nguyễn Thị Minh Khai, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,Nội thất cao cấp,,,,,,1700000000,"24,64 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Bình Dương,2 phòng,69 m²,2 phòng,Đất,,Phường Thuận Giao,
"Đường 768, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai",,,Huyện Vĩnh Cửu,,,,,,,,,Đất thổ cư,19 m,,1640000000,"17,26 triệu/m2",,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,95 m2,,Đất,,Xã Thạnh Phú,5 m
"Đường Phùng Hưng, Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai",,,Thành phố Biên Hòa,,,,,,,,Mặt tiền,Đất thổ cư,,,500000000,5 triệu/m2,,Đã có sổ,,,Đồng Nai,,100 m2,,Đất,,Phường Tam Phước,
"Đường 768B, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",,,Thành phố Biên Hòa,,,Nam,,,,,,Đất nông nghiệp,14 m,,580000000,"8,29 triệu/m2",,Giấy tờ khác,Hẻm xe hơi,,Đồng Nai,,70 m2,,Đất,,Phường Trảng Dài,5 m
"Đường Dẫn vào sân bay, Xã Long An, Huyện Long Thành, Đồng Nai",,,Huyện Long Thành,,,,,,,,Mặt tiền,Đất nông nghiệp,,,5000000,3.333 đ/m2,,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,1500 m2,,Đất,,Xã Long An,
"Đường 10, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",,,Thành phố Biên Hòa,,,Đông,,,,,Mặt tiền,Đất nền dự án,20 m,,175000000,"1,75 triệu/m2",,Đã có sổ,,,Đồng Nai,,100 m2,,Căn hộ/Chung cư,,Phường Hoá An,5 m
"Trường An - Tân Thành, Xã Thanh Bình, Đồng Nai",,,,,,,,,,,Mặt tiền,Đất nông nghiệp,,,7500000000,702.971 đ/m2,,1,,,Đồng Nai,,10669 m2,,Căn hộ/Chung cư,,Xã Thanh Bình,
"Đường Võ Nguyên Giáp, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai",,,Huyện Trảng Bom,,,Tây Nam,,,,,Mặt tiền,Đất thổ cư,21.8 m,,1750000000,"15,63 triệu/m2",,Đã có sổ,,,Đồng Nai,,112 m2,,Căn hộ/Chung cư,,Xã Bình Minh,5.45 m
"Đường Liên Xã Sông Thao Tây Hòa, Xã Sông Thao, Huyện Trảng Bom, Đồng Nai",,,Huyện Trảng Bom,,,,,,,,,Đất nông nghiệp,150 m,,5115000000,341.000 đ/m2,,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,15000 m2,,Căn hộ/Chung cư,,Xã Sông Thao,100 m
"Đường Bùi Văn Hòa, Phường Long Bình, ",,,,,,3,,,,,,Đất nền dự án,20 m,,300000000,3 triệu/m2,,,,,,,100 m2,,Căn hộ/Chung cư,,Phường Long Bình,5 m
"Đường Quốc Lộ 20, Thị trấn Định Quán, Huyện Định Quán, Đồng Nai",,,Huyện Định Quán,,,,,,,,,Đất nông nghiệp,,,450000000,428.571 đ/m2,,Đã có sổ,,,Đồng Nai,,1050 m2,,Căn hộ/Chung cư,,Thị trấn Định Quán,15 m
"Đường Phước Bình, Xã Phước Bình, Huyện Long Thành, ",,,Huyện Long Thành,,,2,,,,,Mặt tiền,Đất thổ cư,80 m,,1800000000,"1,8 triệu/m2",Nở hậu,1,,,,,1000 m2,,Căn hộ/Chung cư,,Xã Phước Bình,15 m
"Đường Phùng Hưng, Xã An Viễn, Đồng Nai",,,,,,,,,,,Mặt tiền,Đất thổ cư,,,450000000,"4,5 triệu/m2",,Đã có sổ,,,Đồng Nai,,100 m2,,Căn hộ/Chung cư,,Xã An Viễn,
"Đường Phạm Thái Bường, Xã Phước Khánh, Huyện Nhơn Trạch, Đồng Nai",,,Huyện Nhơn Trạch,,,Đông Nam,,,,,,Đất nông nghiệp,50 m,,2000000000,2 triệu/m2,,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,1000 m2,,Căn hộ/Chung cư,,Xã Phước Khánh,20 m
"Đường Quốc lộ 1A, Xã Hưng Lộc, Huyện Thống Nhất, ",,,Huyện Thống Nhất,,,,,,,,,Đất thổ cư,20 m,,850000000,"8,5 triệu/m2",,1,,,,,100 m2,,Căn hộ/Chung cư,,Xã Hưng Lộc,5 m
"Đường Nguyễn Văn Tiên, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",,,Thành phố Biên Hòa,,,Bắc,,,,,,Đất nông nghiệp,17 m,,570000000,"6,71 triệu/m2",,,1,,Đồng Nai,,85 m2,,Căn hộ/Chung cư,,Phường Tân Phong,5 m
"Đường Hưng Thịnh Sông Thao, Xã Hưng Thịnh, ",,,,,,,,,,,Mặt tiền,Đất nông nghiệp,100 m,,779000000,779.000 đ/m2,Nở hậu,1,Hẻm xe hơi,,,,1000 m2,,Nhà ở,,Xã Hưng Thịnh,10 m
"Đường Đồng Khởi, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",,,Thành phố Biên Hòa,,,Tây Bắc,,,,,Mặt tiền,Đất thổ cư,21 m,,2600000000,26 triệu/m2,Nở hậu,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,100 m2,,Nhà ở,,Phường Tân Phong,5 m
"Cầu Mên, Xã Sông Nhạn, Huyện Cẩm Mỹ, Đồng Nai",,,Huyện Cẩm Mỹ,,,,,,,,Mặt tiền,Đất nông nghiệp,,,22500000000,"1,88 triệu/m2",,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,12000 m2,,Nhà ở,,Xã Sông Nhạn,
"2817A, Đường Hùng Vương, Xã Vĩnh Thanh, Huyện Nhơn Trạch, Đồng Nai",,,Huyện Nhơn Trạch,,,Đông,,,,,,Đất nông nghiệp,58 m,,1850000000,"1,07 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,,Đồng Nai,,1722 m2,,Nhà ở,,Xã Vĩnh Thanh,30 m
"Quốc Lộ 1a Sông Thao, Xã Tây Hoà, Đồng Nai",,,,,,Đông Nam,,,,,Mặt tiền,Đất nền dự án,20 m,,185000000,"1,85 triệu/m2",,1,1,,Đồng Nai,,100 m2,,Nhà ở,,Xã Tây Hoà,5 m
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, ",,1,Thị xã Dĩ An,,Diamond,,,,Nội thất cao cấp,,,,,,1200000000,"33,33 triệu/m²",,1,,Chưa bàn giao,,1 phòng,36 m²,1 phòng,Căn hộ/Chung cư,,Phường Dĩ An,
"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,Tây Bắc,,Đông Nam,,,Hoàn thiện cơ bản,,,,,,1750000000,"33,02 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Bình Dương,1 phòng,53 m²,1 phòng,Căn hộ/Chung cư,,Phường Chánh Nghĩa,
"45 Tân lập, Phường Tân Hòa, Thị xã Dĩ An, Bình Dương., Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,1200000000,"34,29 triệu/m²",,,,Đã bàn giao,Bình Dương,1 phòng,35 m²,1 phòng,Căn hộ/Chung cư,,Phường Tân Đông Hiệp,
"Hùng Vương, Phường Hoà Phú, Thành phố Thủ Dầu Một, Bình Dương",Căn góc,Chung cư,Thành phố Thủ Dầu Một,Bắc,A,Nam,4,,Hoàn thiện cơ bản,,,,,,3300000000,"40,74 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Bình Dương,2 phòng,81 m²,2 phòng,Nhà ở,,Phường Hoà Phú,
"Đường Đại Lộ Bình Dương, Phường Bình Hòa, Bình Dương",,1,,Nam,,Đông Bắc,,,Nội thất cao cấp,,,,,,2300000000,"38,33 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,60 m²,2 phòng,Nhà ở,,Phường Bình Hòa,
"45 Tân lập, Phường Tân Hòa, Thị xã Dĩ An, Bình Dương., Phường Tân Đông Hiệp, Thị xã Dĩ An, ",,1,Thị xã Dĩ An,,,,,,Hoàn thiện cơ bản,,,,,,1550000000,31 triệu/m²,,1,,Đã bàn giao,,2 phòng,50.4 m²,2 phòng,Nhà ở,,Phường Tân Đông Hiệp,
"Đường Đại Lộ Bình Dương, Phường Lái Thiêu, Bình Dương",,1,,,,,,,Hoàn thiện cơ bản,,,,,,1870000000,"27,91 triệu/m²",,3,,Chưa bàn giao,Bình Dương,2 phòng,67 m²,2 phòng,Nhà ở,,Phường Lái Thiêu,
"Đường Nguyễn Huệ, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,Đông Nam,,Đông Bắc,,,,,,,,,2700000000,"36,99 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,2 phòng,73 m²,2 phòng,Nhà ở,,Phường Phú Mỹ,
"Đường Xa lộ Hà Nội, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,960000000,"20,87 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,2 phòng,46 m²,1 phòng,Đất,,Phường Bình Thắng,
"Đường Xa lộ Hà Nội, Thị xã Dĩ An, ",,1,Thị xã Dĩ An,,,,,,,,,,,,1050000000,"21,43 triệu/m²",,1,,Đã bàn giao,,2 phòng,49.03 m²,1 phòng,Đất,,,
"Đường Trần Phú, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,,,,,,Nội thất cao cấp,,,,,,2950000000,"38,31 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Bình Dương,2 phòng,77 m²,2 phòng,Đất,,Phường Chánh Nghĩa,
"Đường Xa lộ Hà Nội, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,1040000000,"21,22 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,2 phòng,49 m²,1 phòng,Đất,,Phường Bình Thắng,
"Đường 3/2, Thành phố Thuận An, ",,1,Thành phố Thuận An,Đông Nam,,Tây Bắc,,,,,,,,,1180000000,"24,58 triệu/m²",,,,Chưa bàn giao,,1 phòng,48 m²,1 phòng,Đất,,,
"Đường Cầu Sắt, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,B,,,,Nội thất cao cấp,,,,,,1280000000,"24,62 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,Bình Dương,2 phòng,52 m²,1 phòng,Đất,,Phường Lái Thiêu,
"Đường NA3, Phường An Phú, Thành phố Thuận An, ",,1,Thành phố Thuận An,Tây,Tòa nhà 4 tầng cầu thang bộ,Đông,3,,,,,,,,390000000,13 triệu/m²,,Đang chờ sổ,,Đã bàn giao,,1 phòng,30 m²,1 phòng,Đất,,Phường An Phú,
"Đường Xa lộ Hà Nội, Bình Dương",,1,,,,,,,,,,,,,1080000000,"22,04 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,49 m²,1 phòng,Đất,,,
"Đường Tân Lập, Thị xã Dĩ An, Bình Dương",,1,Thị xã Dĩ An,,,,,,Hoàn thiện cơ bản,,,,,,1100000000,25 triệu/m²,,Đã có sổ,,Chưa bàn giao,Bình Dương,1 phòng,44 m²,1 phòng,Đất,,,
"Đường Xa lộ Hà Nội, Bình Dương",Căn góc,1,,,,,,,,,,,,,1230000000,"21,96 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,56 m²,2 phòng,Đất,,,
"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thành phố Thủ Dầu Một, Bình Dương",1,1,Thành phố Thủ Dầu Một,6,,Đông Bắc,,,Hoàn thiện cơ bản,,,,,,3000000000,"31,91 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Bình Dương,3 phòng,94 m²,2 phòng,Đất,,,
"Đường Quốc lộ 1K, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,Nội thất đầy đủ,,,,,,820000000,"22,78 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,1 phòng,36 m²,1 phòng,Căn hộ/Chung cư,,Phường Tân Đông Hiệp,
"Đường Đại Lộ Bình Dương, Phường Tân Định, Thị xã Bến Cát, Bình Dương",,Chung cư,Thị xã Bến Cát,,,,,,Nội thất cao cấp,,,,,,950000000,"22,62 triệu/m²",,,,Chưa bàn giao,Bình Dương,2 phòng,42 m²,1 phòng,Căn hộ/Chung cư,,Phường Tân Định,
"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",1,1,Thị xã Dĩ An,,A,,19,,Hoàn thiện cơ bản,,,,,,1180000000,"27,44 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Bình Dương,2 phòng,43 m²,1 phòng,Căn hộ/Chung cư,,Phường Dĩ An,
"Khu dân cư Thuận Giao, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,Hoàn thiện cơ bản,,,,,,1150000000,23 triệu/m²,,Đã có sổ,,Đã bàn giao,Bình Dương,1 phòng,50 m²,1 phòng,Căn hộ/Chung cư,,Phường Thuận Giao,
"Đường Phan Bội Châu, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,Tây Bắc,,Đông Nam,,,Hoàn thiện cơ bản,,,,,,1300000000,325 triệu/m²,,Đã có sổ,,Chưa bàn giao,Bình Dương,2 phòng,4 m²,1 phòng,Căn hộ/Chung cư,,Phường Dĩ An,
"Phú Đông Premier, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,2150000000,"30,28 triệu/m²",,,,Đã bàn giao,Bình Dương,2 phòng,71 m²,2 phòng,Nhà ở,,Phường An Bình,
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,2300000000,"26,74 triệu/m²",,,,Đã bàn giao,Bình Dương,2 phòng,86 m²,2 phòng,Nhà ở,,Phường An Bình,
"Đường Thuận Giao 25, Phường Thuận Giao, Bình Dương",,1,,,,,,,,,,,,,1000000000,"22,22 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,45 m²,,Nhà ở,,Phường Thuận Giao,
"Đường Xa lộ Hà Nội, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,975000000,"21,2 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,1 phòng,46.03 m²,1 phòng,Đất,,Phường Bình Thắng,
"Đường Tân Lập, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,Hoàn thiện cơ bản,,,,,,1250000000,"27,78 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,1 phòng,45 m²,1 phòng,Đất,,Phường Đông Hòa,
"Đường Phan Bội Châu, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,Hoàn thiện cơ bản,,,,,,1300000000,"28,89 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,Bình Dương,2 phòng,45 m²,1 phòng,Đất,,Phường Dĩ An,
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương., Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Tây,BLOCK A,Đông,18,,Nội thất cao cấp,,,,,,900000000,"25,71 triệu/m²",,Đã có sổ,,Chưa bàn giao,Bình Dương,1 phòng,35 m²,1 phòng,Đất,05,Phường Thuận Giao,
"Đường Phạm Ngũ Lão, Thành phố Thủ Dầu Một, Bình Dương",,1,Thành phố Thủ Dầu Một,,,,,,Hoàn thiện cơ bản,,,,,,1450000000,"32,22 triệu/m²",,1,,Đã bàn giao,Bình Dương,2 phòng,45 m²,1 phòng,Đất,,,
"Quốc Lộ 13, phường Tân Định, thị xã Bến Cát, tỉnh Bình Dương, Phường Tân Định, ",Căn góc,1,,,,5,,,Nội thất đầy đủ,,,,,,1000000000,20 triệu/m²,,Giấy tờ khác,,Chưa bàn giao,,2 phòng,50 m²,1 phòng,Đất,,Phường Tân Định,
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,1,Thị xã Dĩ An,7,B1,Đông Nam,25,,1,,,,,,2733000000,"32,15 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Bình Dương,2 phòng,85.84 m²,2 phòng,Đất,B1.25.12,Phường An Bình,
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương.",,Chung cư,Thành phố Thuận An,,,,,,,,,,,,1150000000,"25,56 triệu/m²",,Đã có sổ,,Chưa bàn giao,Bình Dương,1 phòng,45 m²,1 phòng,Đất,,Phường Thuận Giao,
"Đường Trần Phú, Phường Chánh Nghĩa, ",,1,,Tây Nam,,5,,,,,,,,,2327000000,"29,46 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,,2 phòng,79 m²,2 phòng,Đất,,Phường Chánh Nghĩa,
"Đường Quốc Lộ 13, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,,,,,,Hoàn thiện cơ bản,,,,,,2250000000,"33,58 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,Bình Dương,2 phòng,67 m²,2 phòng,Đất,,Phường Lái Thiêu,
"18, Đường Thuận Giao 25, Phường Thuận Giao, Bình Dương",,1,,Đông Bắc,A,8,12,,Hoàn thiện cơ bản,,,,,,832000000,"25,21 triệu/m²",,1,,Chưa bàn giao,Bình Dương,1 phòng,33 m²,1 phòng,Đất,18,Phường Thuận Giao,
"Đường Quốc lộ 1K, Phường Đông Hòa, Bình Dương",,1,,Đông Nam,,7,,,,,,,,,1500000000,"34,09 triệu/m²",,,,Chưa bàn giao,Bình Dương,2 phòng,44 m²,1 phòng,Đất,,Phường Đông Hòa,
"Đường Lê Thị Trung, Phường An Phú, Thành phố Thuận An, Bình Dương",,1,Thành phố Thuận An,,,,,,,,,,,,25000000,416.666 đ/m²,,,,Chưa bàn giao,Bình Dương,2 phòng,60 m²,2 phòng,Đất,,Phường An Phú,
"28, Thuân giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Bắc,A,Đông Nam,12,,Nội thất cao cấp,,,,,,1190000000,"25,87 triệu/m²",,Đã có sổ,,Chưa bàn giao,Bình Dương,1 phòng,46 m²,1 phòng,Nhà ở,28,Phường Thuận Giao,
"54 Tân lập, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,1370000000,"32,62 triệu/m²",,,,Đã bàn giao,Bình Dương,1 phòng,42 m²,1 phòng,Nhà ở,,Phường Đông Hòa,
"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,1,Thị xã Dĩ An,6,,,,,,,,,,,1600000000,"22,86 triệu/m²",,,,Chưa bàn giao,Bình Dương,2 phòng,70 m²,2 phòng,Nhà ở,,Phường Dĩ An,
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Bình Dương",Căn góc,1,,,,Đông Nam,,,Nội thất cao cấp,,,,,,3050000000,"35,88 triệu/m²",,3,,Đã bàn giao,Bình Dương,2 phòng,85 m²,2 phòng,Nhà ở,,Phường An Bình,
"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,,,,,,,1170000000,"26,59 triệu/m²",,,,Chưa bàn giao,Bình Dương,2 phòng,44 m²,1 phòng,Nhà ở,,Phường Dĩ An,
"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thành phố Thủ Dầu Một, Bình Dương",1,1,Thành phố Thủ Dầu Một,6,,,,,1,,,,,,2980000000,"31,7 triệu/m²",,Giấy tờ khác,,Chưa bàn giao,Bình Dương,3 phòng,94.42 m²,2 phòng,Nhà ở,,,
"Mặt tiền đường Thống Nhất, phường Đông Hoà, Dĩ An, Bình Dương., Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,Hoàn thiện cơ bản,,,,,,1590000000,"33,83 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Bình Dương,2 phòng,47 m²,2 phòng,Nhà ở,,Phường Đông Hòa,
"Đường Đại Lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,,,,,,,,,,,,1100000000,"22,45 triệu/m²",,Đã có sổ,,Đã bàn giao,Bình Dương,1 phòng,49 m²,1 phòng,Nhà ở,,Phường Thuận Giao,
