address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,furnishing_sell,price,price_m2,property_legal_document,property_status,region,rooms,size,toilets,unitnumber,ward
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,1625000000,"23,21 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"mặt tiền đường Xa lộ Hà Nội ( QL 1A), Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Passion,Tây Bắc,9,Hoàn thiện cơ bản,2257000000,"30,92 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,P09,Phường Hố Nai
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây Bắc,B,Tây Bắc,3,Nội thất đầy đủ,2180000000,"35,16 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,1 phòng,62 m²,1 phòng,0312,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,Tây Bắc,,Đông Nam,,Nội thất cao cấp,2195290420,"33,77 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,65.41 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,2100000000,30 triệu/m²,Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368, Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông Nam,Block Model,Tây Bắc,17,Hoàn thiện cơ bản,3150000000,"30,58 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,3 phòng,103 m²,2 phòng,M07x,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Passion,Tây Bắc,18,Hoàn thiện cơ bản,1700000000,"23,94 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,71.5 m²,2 phòng,P18,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",Căn góc,Chung cư,Thành phố Biên Hòa,Đông Bắc,D,,,Nội thất cao cấp,1500000000,20 triệu/m²,Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,75 m²,2 phòng,05,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,,D,,2,Hoàn thiện cơ bản,2100000000,"20,59 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,3 phòng,102 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Nam,Block M,Đông Bắc,15,Hoàn thiện cơ bản,2290000000,"33,68 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,68 m²,2 phòng,M1--,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Passion,,6,Nội thất cao cấp,1600000000,"23,19 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,P.06.05,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,,,,,Nội thất cao cấp,1500000000,"21,43 triệu/m²",Đã có sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Trần Quốc Toản, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông,D2,Tây,4,Nội thất đầy đủ,750000000,"16,67 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,1 phòng,45 m²,1 phòng,,Phường An Bình
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1500000000,"21,43 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông,,Tây,,,2105600000,"30,52 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,69.09 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,P,Đông,10,Nội thất đầy đủ,1600000000,"24,62 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,65 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,,Đông Bắc,,,2350000000,"32,64 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,72 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,Lucky,Tây,18,,31000000,436.619 đ/m²,Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,71 m²,2 phòng,L02,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Passion,,,Nội thất cao cấp,2500000000,"36,23 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây,4,Đông Nam,16,Hoàn thiện cơ bản,2200000000,"32,84 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,67 m²,2 phòng,,Phường Hố Nai
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1568000000,"30,15 triệu/m²",Giấy tờ khác,Đã bàn giao,Đồng Nai,2 phòng,52 m²,1 phòng,,Phường Thống Nhất
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1650000000,"22,3 triệu/m²",Giấy tờ khác,Đã bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,360000000,"5,37 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,67 m²,2 phòng,,Phường Hố Nai
"Đường N2, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Nam,1,,1,Nội thất đầy đủ,1390000000,"27,8 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,50 m²,1 phòng,,Phường Bửu Long
"Mặt tiền xa lộ Hà Nội, TP Biên Hòa, Đồng Nai, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Nam,CLEAVER,Bắc,15,Nội thất cao cấp,2290000000,"29,36 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,78 m²,2 phòng,c01,Phường Hố Nai
"Đường Trần Quốc Toản, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,c4,Đông,4,Hoàn thiện cơ bản,630000000,18 triệu/m²,Đã có sổ,Chưa bàn giao,Đồng Nai,1 phòng,35 m²,1 phòng,c410,Phường An Bình
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây,,Đông Nam,,,2400000000,"34,78 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1926000000,"24,69 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,78.5 m²,2 phòng,,Phường Hố Nai
"Đường Đồng Khởi, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,,,,,999000000,"18,85 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,53 m²,2 phòng,,Phường Tam Hòa
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1600000000,"20,25 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,79 m²,2 phòng,,Phường Hố Nai
"lầu 5, Nguyễn Văn Cừ, Xã Phước An, Huyện Nhơn Trạch, Đồng Nai",Căn góc,Chung cư,Huyện Nhơn Trạch,,A7,Đông Bắc,,,410000000,"12,81 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,2 phòng,32.5 m²,1 phòng,,Xã Phước An
"Đường Hương lộ 2, Xã Long Hưng, Thành phố Biên Hòa, Đồng Nai",Căn góc,Duplex,Thành phố Biên Hòa,,,,3,Bàn giao thô,21800000000,"58,13 triệu/m²",,Chưa bàn giao,Đồng Nai,3 phòng,375 m²,3 phòng,,Xã Long Hưng
"Đường Quốc lộ 1A, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Lucky,,19,Nội thất cao cấp,2250000000,"31,25 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,72 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Nội thất cao cấp,1600000000,"23,19 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,M,Tây Bắc,29,Hoàn thiện cơ bản,2300000000,"31,51 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,73.51 m²,2 phòng,M3,Phường Hố Nai
"Đường Đồng Khởi, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,A1,,16,Nội thất cao cấp,1400000000,20 triệu/m²,Đang chờ sổ,Đã bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,04,Phường Tam Hòa
"Đường Đồng Khởi, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1340000000,"19,14 triệu/m²",,Đã bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Tam Hòa
"Đường Phạm Văn Đồng, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",,Căn hộ dịch vụ,Huyện Long Thành,Nam,,Nam,3,,5000000000,"47,62 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,4 phòng,105 m²,2 phòng,,Thị trấn Long Thành
"66, Đường Huỳnh Văn Nghệ, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1290000000,"32,25 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,1 phòng,40 m²,1 phòng,,Phường Bửu Long
"Đường Võ Thị Sáu, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,12,,2320000000,"33,14 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Quyết Thắng
"Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,Dynamic,,8,Nội thất cao cấp,2200000000,"31,43 triệu/m²",Đã có sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Nguyễn Ái Quốc, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1290000000,"25,8 triệu/m²",,Đã bàn giao,Đồng Nai,2 phòng,50 m²,1 phòng,,Phường Bửu Long
"Đường Huỳnh Văn nghệ, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,,,,,1290000000,"25,8 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,50 m²,1 phòng,,Phường Bửu Long
