city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Bình Dương,15/09/2021,_,Huyện Bắc Tân Uyên,---,13m,9023726,16m, 820 triệu ,Sổ hồng/ Sổ đỏ,---, 80 m,Cần bán,Nhà mặt tiền,Xã Bình Mỹ,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,12m,8171398,29m," 23,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 287 m,Cần bán,"Biệt thự, nhà liền kề",Phường Dĩ An,10m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,4,8m,8164111,22m," 12,8 tỷ ",Sổ hồng/ Sổ đỏ,35, 218 m,Cần bán,"Nhà hàng, khách sạn",Phường Đông Hòa,10m
Bình Dương,08/11/2021,Tây Nam,Thị xã Bến Cát,---,25m,8655292,36m," 3,55 tỷ ",Sổ hồng/ Sổ đỏ,---, 181 m,Cần bán,"Đất thổ cư, đất ở",Phường Thới Hòa,5m
Bình Dương,14/09/2021,_,Huyện Bắc Tân Uyên,---,13m,9020934,20m, 920 triệu ,Sổ hồng/ Sổ đỏ,---, 100 m,Cần bán,Nhà mặt tiền,Xã Tân Lập,5m
Bình Dương,08/11/2021,_,Thành phố Thuận An,---,16m,7149018,30m," 8,5 tỷ ",Sổ hồng/ Sổ đỏ,1, 180 m,Cần bán,Nhà mặt tiền,Phường Vĩnh Phú,6m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,5m,7209660,5m," 2,15 tỷ ",Sổ hồng/ Sổ đỏ,3, 50 m,Cần bán,Nhà trong hẻm,Phường An Bình,10m
Bình Dương,16/09/2021,_,Thị xã Tân Uyên,---,25m,9026567,18m," 1,2 tỷ ",---,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Xã Vĩnh Tân,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,8m,8173067,12m," 3,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 62 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,10m,7151119,4m," 6,2 tỷ ",Sổ hồng/ Sổ đỏ,4, 72 m,Cần bán,Nhà mặt tiền,Phường An Bình,72m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,30m,7071447,30m, 6 tỷ ,Sổ hồng/ Sổ đỏ,3, 118 m,Cần bán,Nhà mặt tiền,Phường Bình An,4m
Bình Dương,14/09/2021,_,Thị xã Tân Uyên,---,15m,9020804,20m," 1,1 tỷ ",---,---, 100 m,Cần bán,"Đất thổ cư, đất ở",Xã Vĩnh Tân,5m
Bình Dương,08/11/2021,_,Thành phố Thuận An,1,10m,7230397,33m, 16 tỷ ,Sổ hồng/ Sổ đỏ,30, 660 m,Cần bán,"Phòng trọ, nhà trọ",Phường Thuận Giao,20m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,7m,7225660,15m, 3 tỷ ,Sổ hồng/ Sổ đỏ,3, 60 m,Cần bán,"Biệt thự, nhà liền kề",Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,_,Huyện Bắc Tân Uyên,---,12m,9263299,40m, 700 triệu ,Sổ hồng/ Sổ đỏ,---, 200 m,Cần bán,"Đất thổ cư, đất ở", Xã Bình Mỹ,5m
Bình Dương,08/11/2021,_,Huyện Bắc Tân Uyên,---,10m,9252216,50m, 600 triệu ,Sổ hồng/ Sổ đỏ,---, 500 m,Cần bán,"Đất thổ cư, đất ở", Xã Bình Mỹ,10m
Bình Dương,08/11/2021,_,Thành phố Thuận An,---,10m,9227743,50m, 600 triệu ,Sổ hồng/ Sổ đỏ,---, 500 m,Cần bán,"Đất thổ cư, đất ở",Phường Thuận Giao,10m
Bình Dương,08/11/2021,_,Huyện Bắc Tân Uyên,---,12m,9277183,40m, 710 triệu ,Sổ hồng/ Sổ đỏ,---, 200 m,Cần bán,"Đất thổ cư, đất ở", Xã Tân Lập,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,6,10m,7067561,19m, 14 tỷ ,Sổ hồng/ Sổ đỏ,18, 108 m,Cần bán,"Nhà hàng, khách sạn",Phường Dĩ An,6m
Bình Dương,08/11/2021,_,Huyện Phú Giáo,---,10m,9279952,50m, 690 triệu ,Sổ hồng/ Sổ đỏ,---, 250 m,Cần bán,"Đất thổ cư, đất ở",Xã Tân Hiệp,5m
Bình Dương,08/11/2021,Đông,Thành phố Thuận An,1,5m,9262066,10m, 870 triệu ,Giấy tờ hợp lệ,3, 40 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,5m
Bình Dương,08/11/2021,Tây Nam,Thành phố Thuận An,1,5m,9212844,16m," 1,39 tỷ ",Giấy tờ hợp lệ,3, 64 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,6m,8193223,20m," 3,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 79 m,Cần bán,Nhà trong hẻm,Phường Dĩ An,4m
Bình Dương,08/11/2021,_,Thành phố Thuận An,2,6m,9214836,27m, 4 tỷ ,Sổ hồng/ Sổ đỏ,3, 134 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,5m
Bình Dương,08/11/2021,_,Thành phố Thuận An,2,12m,9114826,18m," 3,4 tỷ ",Sổ hồng/ Sổ đỏ,4, 72 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Bắc,Thành phố Dĩ An,2,8m,9116959,20m," 2,6 tỷ ",Sổ hồng/ Sổ đỏ,3, 80 m,Cần bán,Nhà mặt tiền,Phường Tân Bình,4m
Bình Dương,08/11/2021,Đông Nam,Thành phố Thuận An,1,6m,9186023,13m," 2,23 tỷ ",Sổ hồng/ Sổ đỏ,3, 65 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,10m,7670787,33m," 6,6 tỷ ",Sổ hồng/ Sổ đỏ,---, 174 m,Cần bán,"Đất thổ cư, đất ở",Phường Dĩ An,5m
Bình Dương,08/11/2021,Tây Nam,Thành phố Thuận An,1,5m,9190689,"12,5m"," 1,25 tỷ ",Giấy tờ hợp lệ,2, 50 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Đông,Thành phố Thuận An,1,32m,9222381,"20,5m", 4 tỷ ,Sổ hồng/ Sổ đỏ,3, 104 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,5m
Bình Dương,08/11/2021,Nam,Thành phố Dĩ An,2,"3,5m",9110305,"6,5m"," 1,65 tỷ ",Giấy tờ hợp lệ,2, 45 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,"6,5m"
Bình Dương,08/11/2021,Tây Bắc,Thành phố Thuận An,2,5m,9098898,17m," 1,4 tỷ ",Giấy tờ hợp lệ,3, 70 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Đông Bắc,Thành phố Thuận An,2,6m,9129951,20m," 5,35 tỷ ",Sổ hồng/ Sổ đỏ,5, 101 m,Cần bán,Nhà mặt tiền,Phường An Phú,5m
Bình Dương,08/11/2021,Tây,Thành phố Thuận An,1,8m,9138430,13m," 1,69 tỷ ",Sổ hồng/ Sổ đỏ,3, 75 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,5m
Bình Dương,08/11/2021,_,Thị xã Tân Uyên,2,10m,9155468,19m," 3,1 tỷ ",Sổ hồng/ Sổ đỏ,3, 114 m,Cần bán,Nhà mặt tiền,Phường Tân Phước Khánh,6m
Bình Dương,08/11/2021,Tây,Thị xã Tân Uyên,2,8m,9138398,18m," 3,05 tỷ ",Sổ hồng/ Sổ đỏ,3, 72 m,Cần bán,Nhà mặt tiền,Phường Tân Phước Khánh,4m
Bình Dương,08/11/2021,Đông Nam,Thành phố Thuận An,3,8m,9290030,18m," 4,3 tỷ ",Sổ hồng/ Sổ đỏ,4, 90 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,"5,2m"
Bình Dương,08/11/2021,Đông,Thị xã Tân Uyên,2,6m,9268145,18m," 2,75 tỷ ",Sổ hồng/ Sổ đỏ,3, 82 m,Cần bán,Nhà mặt tiền,Phường Tân Phước Khánh,"4,5m"
Bình Dương,08/11/2021,Đông,Thành phố Dĩ An,2,4m,9279652,15m," 1,65 tỷ ",Giấy tờ hợp lệ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,4m
Bình Dương,08/11/2021,Tây Nam,Thành phố Dĩ An,1,5m,9187767,16m," 1,99 tỷ ",Sổ hồng/ Sổ đỏ,2, 68 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,"4,2m"
Bình Dương,08/11/2021,Tây,Thị xã Tân Uyên,1,5m,9203303,15m," 1,25 tỷ ",Sổ hồng/ Sổ đỏ,2, 60 m,Cần bán,Nhà trong hẻm,Phường Tân Phước Khánh,4m
Bình Dương,08/11/2021,Tây Bắc,Thành phố Dĩ An,1,5m,9275314,"12,5m"," 1,56 tỷ ",Giấy tờ hợp lệ,2, 50 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,Bắc,Thành phố Thuận An,1,5m,9246736,17m," 1,26 tỷ ",Giấy tờ hợp lệ,2, 68 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Tây Bắc,Thị xã Tân Uyên,2,8m,9233027,26m," 3,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 126 m,Cần bán,Nhà mặt tiền,Xã Tân Vĩnh Hiệp,5m
Bình Dương,08/11/2021,Đông Nam,Thành phố Dĩ An,1,3m,9232264,10m," 1,35 tỷ ",Giấy tờ hợp lệ,3, 40 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,_,Thành phố Thuận An,3,12m,9270984,19m," 3,15 tỷ ",Sổ hồng/ Sổ đỏ,5, 76 m,Cần bán,"Biệt thự, nhà liền kề",Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Đông Bắc,Thành phố Dĩ An,2,8m,9236599,17m," 2,44 tỷ ",Sổ hồng/ Sổ đỏ,3, 68 m,Cần bán,Nhà mặt tiền,Phường Tân Bình,4m
Bình Dương,08/11/2021,_,Thành phố Thuận An,1,4m,9231210,15m," 1,38 tỷ ",Giấy tờ hợp lệ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,_,Thành phố Thuận An,1,5m,9171058,16m," 1,37 tỷ ",Giấy tờ hợp lệ,3, 64 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Tây Bắc,Thành phố Thuận An,1,6m,9330635,"16,5m"," 2,1 tỷ ",Sổ hồng/ Sổ đỏ,3, 66 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Đông,Thành phố Dĩ An,1,4m,9140503,"10,5m"," 1,45 tỷ ",Giấy tờ hợp lệ,2, 50 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,Đông Bắc,Thành phố Thuận An,1,4m,9196338,11m," 1,02 tỷ ",Giấy tờ hợp lệ,2, 44 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,Đông Nam,Thành phố Dĩ An,2,10m,7048395,20m," 6,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 100 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,3m,8439053,15m," 2,1 tỷ ",Sổ hồng/ Sổ đỏ,---, 60 m,Cần bán,"Đất thổ cư, đất ở",Phường Đông Hòa,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,16m,7079355,20m," 12,5 tỷ ",Sổ hồng/ Sổ đỏ,8, 200 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,10m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,4m,8473246,8m," 1,45 tỷ ",Sổ hồng/ Sổ đỏ,2, 30 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,4m
Bình Dương,08/11/2021,Bắc,Thành phố Dĩ An,1,3m,9225126,9m," 1,09 tỷ ",Giấy tờ hợp lệ,2, 36 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,6m,8499253,14m," 2,75 tỷ ",Sổ hồng/ Sổ đỏ,4, 67 m,Cần bán,"Phòng trọ, nhà trọ",Phường An Bình,5m
Bình Dương,08/11/2021,_,Thành phố Thuận An,2,10m,9217299,18m," 3,49 tỷ ",Sổ hồng/ Sổ đỏ,4, 72 m,Cần bán,Nhà mặt tiền,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8541655,14m," 5,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 58 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,"4,5m"
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8574751,24m," 4,65 tỷ ",Sổ hồng/ Sổ đỏ,---, 96 m,Cần bán,"Đất thổ cư, đất ở",Phường Đông Hòa,"4,2m"
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,12m,8150060,45m, 13 tỷ ,Sổ hồng/ Sổ đỏ,2, 284 m,Cần bán,Nhà mặt tiền,Phường An Bình,6m
Bình Dương,08/11/2021,Nam,Thành phố Dĩ An,---,3m,8473134,13m," 2,15 tỷ ",Sổ hồng/ Sổ đỏ,4, 65 m,Cần bán,Nhà trong hẻm,Phường Dĩ An,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8232864,50m, 15 tỷ ,Sổ hồng/ Sổ đỏ,---, 493 m,Cần bán,"Đất thổ cư, đất ở",Phường Tân Đông Hiệp,10m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,8m,8279414,27m," 3,55 tỷ ",Sổ hồng/ Sổ đỏ,---, 113 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,12m,8388531,15m, 5 tỷ ,Sổ hồng/ Sổ đỏ,1, 57 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,6m,7064808,"12,5m"," 2,5 tỷ ",Sổ hồng/ Sổ đỏ,1, 66 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,"5,3m"
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,6m,8399321,13m," 1,78 tỷ ",Sổ hồng/ Sổ đỏ,---, 81 m,Cần bán,"Đất thổ cư, đất ở",Phường Bình An,6m
Bình Dương,08/11/2021,Đông,Thành phố Dĩ An,1,5m,8398708,13m," 2,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 65 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,5m
Bình Dương,08/11/2021,Đông,Thành phố Thuận An,1,5m,9274423,15m," 1,25 tỷ ",Giấy tờ hợp lệ,4, 60 m,Cần bán,Nhà trong hẻm,Phường Bình Chuẩn,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8371379,50m, 16 tỷ ,Sổ hồng/ Sổ đỏ,8, 420 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,"8,5m"
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,3m,8388517,5m," 1,29 tỷ ",---,2, 40 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,8m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8609680,30m, 28 tỷ ,Sổ hồng/ Sổ đỏ,2, 339 m,Cần bán,Nhà mặt tiền,Phường Dĩ An,"13,5m"
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,4m,8609491,10m," 1,25 tỷ ",Giấy tờ hợp lệ,2, 40 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,20m,8498620,21m," 8,1 tỷ ",Sổ hồng/ Sổ đỏ,2, 210 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,10m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,16m,8603227,24m," 7,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 122 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,"5,5m"
Bình Dương,14/09/2021,_,Huyện Bắc Tân Uyên,---,15m,9021008,16m, 880 triệu ,---,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Xã Tân Lập,5m
Bình Dương,14/09/2021,_,Huyện Bắc Tân Uyên,---,22m,9021159,---, 850 triệu / m,Giấy tờ hợp lệ,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Xã Bình Mỹ,---
Bình Dương,14/09/2021,_,Thị xã Bến Cát,---,22m,9021184,---, 750 triệu ,Giấy tờ hợp lệ,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Phường Mỹ Phước,---
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,8m,8193146,20m," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 95 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,"4,5m"
Bình Dương,08/11/2021,Nam,Thành phố Thuận An,1,6m,9231535,13m," 2,3 tỷ ",Sổ hồng/ Sổ đỏ,2, 52 m,Cần bán,Nhà mặt tiền,Phường An Phú,4m
Bình Dương,15/09/2021,_,Thành phố Thuận An,---,5m,7288089,34m," 1,8 tỷ ",Sổ hồng/ Sổ đỏ,---, 170 m,Cần bán,"Đất thổ cư, đất ở",Phường Bình Chuẩn,5m
Bình Dương,15/09/2021,_,Thị xã Tân Uyên,---,3m,9021499,16m, 800 triệu ,---,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Xã Vĩnh Tân,5m
Bình Dương,15/09/2021,_,Thị xã Tân Uyên,---,13m,9022745,16m," 1,1 tỷ ",Sổ hồng/ Sổ đỏ,---, 80 m,Cần bán,"Đất nền, liền kề, đất dự án",Xã Vĩnh Tân,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,5m,9322181,15m," 1,7 tỷ ",Giấy tờ hợp lệ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Dĩ An,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,8m,8606583,18m," 3,65 tỷ ",Sổ hồng/ Sổ đỏ,5, 90 m,Cần bán,Nhà mặt tiền,Phường An Bình,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,10m,8371327,20m," 5,75 tỷ ",Sổ hồng/ Sổ đỏ,---, 100 m,Cần bán,"Đất thổ cư, đất ở",Phường Đông Hòa,5m
Bình Dương,15/09/2021,_,Thị xã Bến Cát,---,13m,9023591,16m, 900 triệu ,---,---, 80 m,Cần bán,"Đất nền, liền kề, đất dự án",Phường Hòa Lợi,5m
Bình Dương,15/09/2021,_,Thành phố Dĩ An,---,---,9007631,---, 120 tỷ ,---,---, 10.000 m,Cần bán,"Kho, xưởng",Phường Tân Đông Hiệp,---
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,4m,9184435,6m," 3,3 tỷ ",Sổ hồng/ Sổ đỏ,6, 122 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,17m
Bình Dương,15/09/2021,_,Huyện Bắc Tân Uyên,---,13m,9022904,16m, 930 triệu ,Sổ hồng/ Sổ đỏ,---, 80 m,Cần bán,"Đất nền, liền kề, đất dự án",Xã Bình Mỹ,5m
Bình Dương,14/09/2021,_,Thị xã Bến Cát,---,3m,9021425,16m, 750 triệu ,Sổ hồng/ Sổ đỏ,---, 80 m,Cần bán,"Đất thổ cư, đất ở",Phường Chánh Phú Hòa,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,5m,8429186,25m," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,1, 200 m,Cần bán,"Kho, xưởng",Phường Đông Hòa,9m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,5m,9193529,13m," 2,68 tỷ ",Sổ hồng/ Sổ đỏ,2, 52 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,26,---,9114138,---," 1,2 tỷ ",Giấy tờ hợp lệ,2, 45 m,Cần bán,Căn hộ chung cư,Phường Đông Hòa,---
Bình Dương,08/11/2021,_,Huyện Bàu Bàng,---,8m,9286142,394m," 1,23 triệu / m",---,---, 400.000 m,Cần bán,"Đất nông, lâm nghiệp",Xã Long Nguyên,66m
Bình Dương,08/11/2021,Đông Nam,Thị xã Bến Cát,---,15m,8696593,18m," 1,25 tỷ ",Sổ hồng/ Sổ đỏ,---, 90 m,Cần bán,"Đất nền, liền kề, đất dự án",Phường Hòa Lợi,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,10m,8371425,40m, 18 tỷ ,Sổ hồng/ Sổ đỏ,---, 971 m,Cần bán,Nhà mặt tiền,Phường Tân Đông Hiệp,7m
Bình Dương,08/11/2021,Đông Bắc,Thị xã Bến Cát,---,32m,8351006,18m," 1,2 tỷ ",Sổ hồng/ Sổ đỏ,---, 90 m,Cần bán,"Đất nền, liền kề, đất dự án",Phường Mỹ Phước,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,8m,9183942,30m," 3,55 tỷ ",Sổ hồng/ Sổ đỏ,---, 120 m,Cần bán,Nhà mặt tiền,Phường Đông Hòa,4m
Bình Dương,08/11/2021,Đông Bắc,Thành phố Dĩ An,3,25m,8525747,20m," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 86 m,Cần bán,"Biệt thự, nhà liền kề",Phường Tân Đông Hiệp,4m
Bình Dương,14/09/2021,_,Thành phố Dĩ An,35,---,9021562,---," 2,5 tỷ ",---,2, 75 m,Cần bán,Căn hộ chung cư,Phường Tân Đông Hiệp,---
Bình Dương,08/11/2021,_,Thành phố Thuận An,---,---,8517431,60m, 14 tỷ ,---,---, 886 m,Cần bán,"Phòng trọ, nhà trọ",Phường Thuận Giao,15m
Bình Dương,08/11/2021,Đông Bắc,Thị xã Tân Uyên,---,15m,8453537,21m," 1,33 tỷ ",---,---, 102 m,Cần bán,"Đất nền, liền kề, đất dự án",Xã Hội Nghĩa,5m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,8m,8422811,49m," 10,8 tỷ ",Sổ hồng/ Sổ đỏ,22, 491 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,10m
Bình Dương,15/09/2021,Tây Nam,Thành phố Dĩ An,10,---,9022939,---," 1,8 tỷ ",Giấy tờ hợp lệ,2, 55 m,Cần bán,Căn hộ chung cư,Phường Đông Hòa,---
Bình Dương,08/11/2021,Đông Bắc,Huyện Bàu Bàng,---,15m,8570975,"49,6m"," 1,25 tỷ ",Sổ hồng/ Sổ đỏ,---, 248 m,Cần bán,"Đất thổ cư, đất ở",Xã Long Nguyên,5m
